Subject,Object
Baruch College,high undergraduate
Baruch College,"postbaccalaureate: business-dominant, with arts & sciences"
Baruch College,"professions plus arts & sciences, some graduate coexistence"
City College of New York,"four-year, medium full-time, selective, higher transfer-in"
City College of New York,research doctoral: single program - other
Clearwater Christian College,baccalaureate colleges: diverse fields
Cornell University,doctoral university: highest research activity
Cornell University,majority undergraduate
Cornell University,"research doctoral: comprehensive programs, with medical/veterinary school"
Dickinson College,baccalaureate colleges: arts and sciences focus
Dickinson College,exclusively undergraduate four-year
Mercy College,master's colleges and universities: larger programs
Michigan State University,doctoral university: highest research activity
Morehouse College,baccalaureate colleges: arts and sciences focus
North Carolina State University,doctoral university: highest research activity
Our Lady of Holy Cross College,baccalaureate colleges: diverse fields
Pasadena City College,associate's colleges: high transfer-high traditional
Pasco–Hernando Community College,baccalaureate/associate's colleges: associate's dominant four year colleges
Piedmont Community College,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Piedmont Virginia Community College,associate's colleges: high transfer-high nontraditional
Pikes Peak Community College,associate's colleges: mixed transfer/career & technical-mixed traditional/nontraditional
Pima Community College,associate's colleges: high transfer-mixed traditional/nontraditional
Sacred Heart Major Seminary,"arts & sciences plus professions, some graduate coexistence"
Sacred Heart Major Seminary,"four-year, higher part-time"
Sacred Heart Major Seminary,"four-year, very small, primarily nonresidential"
Sacred Heart Major Seminary,majority undergraduate
Sacred Heart Major Seminary,postbaccalaureate: single program - other
Sacred Heart Major Seminary,special focus four-year: faith-related institutions
Sacred Heart School of Theology,exclusively graduate
Saint John's Seminary,"four-year, full-time, inclusive, higher transfer-in"
Saint John's Seminary,postbaccalaureate: single program - other
Saint Joseph Seminary College,"four-year, full-time, inclusive, higher transfer-in"
Saint Meinrad Seminary and School of Theology,exclusively graduate
Saint Vincent Seminary,exclusively graduate
Sojourner–Douglass College,baccalaureate colleges: diverse fields
St. Bernard's School of Theology and Ministry,exclusively graduate
St. Bernard's School of Theology and Ministry,postbaccalaureate: single program - other
St. Charles Borromeo Seminary,"four-year, medium full-time, inclusive, higher transfer-in"
St. John Vianney College Seminary,"four-year, full-time, inclusive, higher transfer-in"
St. John's Seminary,exclusively graduate
St. Vincent de Paul Regional Seminary,exclusively graduate
Texas A&M University,doctoral university: highest research activity
Texas A&M University,high undergraduate
Toccoa Falls College,baccalaureate colleges: diverse fields
University of Alaska Fairbanks,doctoral university: higher research activity
"University of California, Berkeley",doctoral university: highest research activity
University of Massachusetts Amherst,doctoral university: highest research activity
University of Saint Mary of the Lake,exclusively graduate
Valencia College,baccalaureate/associate's colleges: associate's dominant four year colleges
West Virginia University,doctoral university: highest research activity
