Subject,Object
0,limit1#null
Berlin Ostbahnhof,category 1 railway station
Berlin Südkreuz station,category 1 railway station
Berlin Westkreuz station,category 3 railway station
Berlin-Gesundbrunnen station,category 1 railway station
Berlin-Lichtenberg station,category 2 railway station
Berlin-Spandau station,category 2 railway station
Bonn Hauptbahnhof,category 2 railway station
Buckower Chaussee station,category 5 railway station
Duckterath station,category 5 railway station
Hamburg Dammtor station,category 2 railway station
Hamburg-Altona station,category 1 railway station
Kassel-Wilhelmshöhe station,category 2 railway station
Köln-Buchforst station,category 5 railway station
München Neuperlach Süd station,category 5 railway station
München Ost station,category 1 railway station
Nuremberg Central Station,category 1 railway station
Ostkreuz,category 3 railway station
Schichauweg railway station,category 5 railway station
