Subject,Object
Akimiski Island Migratory Bird Sanctuary,ib (iucn category)
Akimiski Island Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Aulavik National Park,IUCN category II: National Park
Baie de l'Isle-Verte National Wildlife Area,IUCN category IV: Habitat/Species Management Area
Beckett Creek Migratory Bird Sanctuary,IUCN category II: National Park
Black Ridge Canyons Wilderness,ib (iucn category)
Bzová,IUCN category IV: Habitat/Species Management Area
Douthat State Park,iucn category v: protected landscape/seascape
East Bay Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Fairy Stone State Park,iucn category v: protected landscape/seascape
Great Sand Dunes National Park and Preserve,iucn category v: protected landscape/seascape
Hannah Bay Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Harry Gibbons Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Ivvavik National Park,IUCN category II: National Park
Klondike Gold Rush National Historical Park,IUCN category V: Protected Landscape/Seascape
Kluane National Park and Reserve,IUCN category II: National Park
Kuzov,IUCN category III: Natural Monument or Feature
Lowell National Historical Park,IUCN category V: Protected Landscape/Seascape
Malínská skála Sněžné,IUCN category III: Natural Monument or Feature
Marianas Trench Marine National Monument,IUCN category V: Protected Landscape/Seascape
Orlovická hora,IUCN category III: Natural Monument or Feature
Papahānaumokuākea Marine National Monument,ia (iucn category)
Papahānaumokuākea Marine National Monument,IUCN category Ia: Strict Nature Reserve
Pasecká skála,IUCN category III: Natural Monument or Feature
Peperek,IUCN category III: Natural Monument or Feature
Porážky,IUCN category IV: Habitat/Species Management Area
Prince Albert National Park,IUCN category II: National Park
Prince Leopold Island Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Rašeliniště Jizery,IUCN category IV: Habitat/Species Management Area
Redwood National and State Parks,iucn category v: protected landscape/seascape
Richardson Lake Migratory Bird Sanctuary,IUCN category Ib: Wilderness Area
Rose Atoll Marine National Monument,IUCN category V: Protected Landscape/Seascape
Rybenské Perničky,IUCN category III: Natural Monument or Feature
Sangre de Cristo Wilderness,ib (iucn category)
Sedlo,IUCN category IV: Habitat/Species Management Area
Sýkoř,IUCN category IV: Habitat/Species Management Area
Terra Nova Migratory Bird Sanctuary,IUCN category II: National Park
Thaidene Nëné National Park Reserve,IUCN category II: National Park
Tisůvka,IUCN category III: Natural Monument or Feature
Tumacácori National Historical Park,IUCN category V: Protected Landscape/Seascape
Vuntut National Park,IUCN category II: National Park
Vůznice,IUCN category IV: Habitat/Species Management Area
