Subject,Object
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG
Alice Through the Looking Glass,PG
Captain America: The Winter Soldier,mpa parents strongly cautioned
Cars 3,all ages admitted (mpa)
Cinderella,PG
Flushed Away,mpa parental guidance suggested
How to Train Your Dragon 2,mpa parental guidance suggested
Rocky,mpa parental guidance suggested
Saving Mr. Banks,mpa parents strongly cautioned
Saving Mr. Banks,PG-13
Star Wars: Episode I – The Phantom Menace,mpa parental guidance suggested
Star Wars: Episode I – The Phantom Menace,PG
The BFG,PG
Wonder Woman 1984,mpa parents strongly cautioned
Zootopia,mpa parental guidance suggested
