Subject,Object
A Monster Calls,B
American Hustle,b15
Bastille Day,B
Captain America: The Winter Soldier,b
Cars 3,AA
Ghostbusters,B
How to Train Your Dragon 2,AA
Jumanji: Welcome to the Jungle,B
Keeping Up with the Joneses,B
Kidnap,B
Krampus,B
Manchester by the Sea,B
Moana,A
Now You See Me 2,B
Raging Bull,b15
Saving Mr. Banks,a
Son of Saul,b15
Star Wars: Episode I – The Phantom Menace,aa
Suicide Squad,B
The Godfather,b15
The Godfather Part II,b15
The Wave,B
The Young Messiah,B
Trolls,AA
Truth,B
War for the Planet of the Apes,B
Zootopia,AA
