Subject,Object
Albania,20.0
Argentina,21.0
Australia,10.0
Austria,20.0
Bangladesh,15.0
Bolivia,13.0
Botswana,12.0
Central African Republic,19.0
Chad,18.0
Czech Republic,10.0
Czech Republic,12.0
Czech Republic,19.0
Czech Republic,20.0
Czech Republic,21.0
Czech Republic,22.0
Czech Republic,23.0
Ethiopia,15.0
France,2.1
France,20.0
France,5.5
Ghana,15.0
India,5.5
Israel,17.0
Italy,22.0
Japan,10.0
Kazakhstan,12.0
Kyrgyzstan,20.0
Lesotho,14.0
Mauritius,15.0
Mongolia,10.0
Montenegro,21.0
Morocco,20.0
Netherlands,21.0
Netherlands,6.0
New Zealand,15.0
Paraguay,10.0
Philippines,12.0
Romania,19.0
Saudi Arabia,5.0
Slovakia,19.0
Slovakia,20.0
Slovakia,23.0
Slovakia,5.0
Spain,21.0
Sweden,0.0
Sweden,12.0
Sweden,25.0
Sweden,6.0
Thailand,10.0
Turkey,20.0
Turkmenistan,15.0
Uganda,18.0
Ukraine,0.0
Ukraine,14.0
Ukraine,20.0
Ukraine,7.0
United Kingdom,0.0
United Kingdom,20.0
United Kingdom,5.0
Uzbekistan,20.0
Vietnam,10.0
Zambia,16.0
