Subject,Object
All-Athletics.com ID,Jacqueline Curtet
AlloCiné company ID,20th Century Fox France
aperture,Canon EF 1200mm lens
Argentine deputy votations ID,Néstor Pitrola
Bargeton ID,Félix Achard
Bargeton ID,Jean-Pierre Abeille
Bargeton ID,Valentin Abeille
Basketball-Reference.com WNBA player ID,Nikki McCray
Basketball-Reference.com WNBA player ID,Seimone Augustus
BFI Filmography person ID,Michael Balcon
CETS number,European Landscape Convention
charge conjugation quantum number,photon
cinematografo.it name or company ID,Vittorio Gassman
Cockroach Species File ID,Blattellinae
commemorative plaque image,"Frederick II, Holy Roman Emperor"
Coreoidea Species File ID,Western conifer seed bug
ctext work ID,Analects
date depicted,Brothers in Arms: D-Day
detail map,Sicily
Deutsche Ultramarathon-Vereinigung ID,Nuria Picas Albets
distribution map,Roberts
ERIH PLUS ID,Historische Zeitschrift
FFF female player ID,Eugénie Le Sommer
French Athletics Federation athlete ID,Haoua Kessely
image of grave,Simon Addis
Irish Rugby Football Union women's player ID,Niamh Briggs
ITRA runner ID,Caroline Chaverot
LFB player ID,Laetitia Kamba
LFB player ID,Renee Montgomery
location of first performance,Der Hauptmann von Köpenick (The Captain of Köpenick)
Mantodea Species File ID,Rhombodera basalis
MEA Indian Mission ID,"Embassy of India, Washington, D.C."
Movieplayer person ID,Michael Crichton
MYmovies actor ID,Omar Sy
OpenSecrets organization ID,National Association of Realtors
OpenSecrets organization ID,Perkins Coie LLP
opinion joined by,Roe v. Wade
Pathway Ontology ID,G-protein coupled receptor signaling pathway
PhilPapers publication ID,The Acorn
Power of 10 athlete ID,Ellie Greenwood
Premiers préfets ID,Jules Pasquier
Prime Pages ID,M6972593
Research Papers in Economics Series handle,Business Inform
Rugby Football Union women's player ID,Sarah Hunter
Sabinet journal ID,Africa Education Review
season,Asylum of the Daleks
Sports-Reference.com college basketball coach ID,C. M. Newton
Sports-Reference.com college basketball player ID,Jack Cooley
Transporter Classification Database ID,voltage-gated ion channel
UK Parliament thesaurus ID,David Cameron
UltraSignup runner ID,Ruby Muir
Unifrance person ID,Jean Teulé
Wildlife Protection Act 1972,Gazella bennettii
Women's Basketball Hall of Fame ID,Ora Washington
Women's Collegiate Tennis Hall of Fame ID,Althea Gibson
Women's Collegiate Tennis Hall of Fame ID,Alycia Moulton
Étonnants voyageurs participant ID,Léonora Miano
