Subject,Object
101 Piscium,-2.07
20 Camelopardalis,1.35
2001 QD298,5.7
2001 QX297,6.3
26 Canis Majoris,-1.11
50000 Quaoar,2.4
6 Draconis,-1.38
87 Sylvia,6.94
Alpha Caeli,3.39
Delta Equulei,3.14
Epsilon Coronae Australis,2.21
Gamma Doradus,2.72
Gliese 208,8.501
Gliese 412,14.92
Gliese 777,4.73
HD 154345,5.483
HD 27894,6.225
Kapteyn's Star,10.43
Makemake,-0.2
Mu Arae,4.28
R Cassiopeiae,4.83
Sigma Draconis,5.859
Tupi,4.4
U Orionis,-3.69
U Orionis,2.42
Vega,0.582
Vega,0.604
