Subject,Object
30th Street Station,52nd street
30th Street Station,ardmore
30th Street Station,broad street suburban station
30th Street Station,chester transportation center
30th Street Station,darby
30th Street Station,joseph r. biden jr. railroad station
30th Street Station,north philadelphia station
30th Street Station,overbrook
30th Street Station,penn medicine station
30th Street Station,pennsauken station
30th Street Station,Suburban Station
30th Street Station,trenton station
30th Street Station,wynnefield ave station
Aldwych tube station,Holborn tube station
Altglienicke station,Adlershof station
Ambachtsland,De Tochten
Ambachtsland,Nieuw Verlaat
Bank and Monument stations,liverpool street tube station
Bank and Monument stations,london bridge station
Bank and Monument stations,mog
Bank and Monument stations,post office tube station
Bank and Monument stations,waterloo station
Baumschulenweg station,berlin schöneweide s-bahn station
Baumschulenweg station,köllnische heide station
Baumschulenweg station,plänterwald railway station
Berlin Brandenburger Tor station,s-bahnhof friedrichstrasse
Berlin Hackescher Markt station,s-bahnhof berlin alexanderplatz
Berlin Hackescher Markt station,s-bahnhof friedrichstrasse
Berlin Südkreuz station,berlin potsdamer platz station
Berlin Südkreuz station,berlin-lichterfelde ost railway station
Berlin Südkreuz station,Priesterweg railway station
Berlin-Lichtenberg station,bahnhof berlin-mahlsdorf
Berlin-Lichtenberg station,berlin-ahrensfelde regional railway station
Berlin-Lichtenberg station,berlin-hohenschönhausen railway stop
Berlin-Lichtenberg station,ostkreuz railway station
Berlin-Spandau station,berlin jungfernheide station
Bibliothèque François Mitterrand Station,Ivry-sur-Seine
Binnenhof,Romeynshof
Canning Town,East India
Caofang station,changying station
Caofang station,wuzi xueyuan lu station
Changying station,Caofang station
Changying station,huangqu station
Charing Cross tube station,Piccadilly Circus tube station
Den Haag Laan van NOI railway station,Den Haag Centraal railway station
Four Lane Ends Interchange,benton
Four Lane Ends Interchange,longbenton
Graskruid,Hesseplaats
Graskruid,Rotterdam Alexander railway station
Großhelfendorf station,Kreuzstraße station
Hamburg Dammtor station,elmshorn station
Hamburg Dammtor station,hamburg hauptbahnhof
Hamburg Dammtor station,hamburg sternschanze station
Hamburg Dammtor station,pinneberg station
Holzkirchen station,Otterfing station
Kassel-Wilhelmshöhe station,fulda railway station
Kassel-Wilhelmshöhe station,hann münden station
Kassel-Wilhelmshöhe station,kassel central station
Kerava railway station,ainola railway station
Kerava railway station,haarajoki railway station
Kerava railway station,järvenpää railway station
Kerava railway station,kytömaa railway station
Kerava railway station,nikkilä railway station
Kerava railway station,savio railway station
Kerava railway station,tikkurila railway station
Kerava railway station,vuosaari harbour
Kreuzstraße station,Großhelfendorf station
Kreuzstraße station,Holzkirchen station
Leidschenveen,Nootdorp
Leipzig Hauptbahnhof,bad lausick railway station
Leipzig Hauptbahnhof,erfurt central station
Leipzig Hauptbahnhof,leipzig coppiplatz railway stop
Leipzig Hauptbahnhof,leipzig messe railway station
Leipzig Hauptbahnhof,leipzig-engelsdorf goods station
Leipzig Hauptbahnhof,leipzig-engelsdorf railway stop
Leipzig Hauptbahnhof,leipzig-gohlis railway stop
Leipzig Hauptbahnhof,leipzig-möckern railway stop
Leipzig Hauptbahnhof,leipzig-paunsdorf railway stop
Leipzig Hauptbahnhof,leipzig-plagwitz railway station
Leipzig Hauptbahnhof,leipzig-sellerhausen railway stop
Leipzig Hauptbahnhof,lutherstadt wittenberg hauptbahnhof
Leipzig Hauptbahnhof,taucha (b leipzig) railway station
Meijersplein,Melanchthonweg
Milano Porta Garibaldi,Milano Lancetti railway station
Nationaltheatret Station,Oslo Central Station
Neufahrn,Pulling (b Freising) station
Nieuw Verlaat,Hesseplaats
Nuremberg Central Station,Munich Central Station
Oosterflank,Rotterdam Alexander railway station
Osnabrück Central Station,Bohmte railway station
Parsons Green tube station,fulham broadway station
Parsons Green tube station,Fulham Broadway tube station
Parsons Green tube station,putney bridge & fulham tube station
Pijnacker Centrum,Pijnacker Zuid
Prinsenlaan,Schenkel
Romeynshof,Binnenhof
Surrey Quays railway station,New Cross Gate railway station
Victoria tube station,Green Park tube station
Wapping railway station,roe
Wapping railway station,Rotherhithe railway station
Wapping railway station,sde
Wapping railway station,Shadwell railway station
Waterloo tube station,Southwark tube station
West Ham station,barking railway station
West Ham station,Barking station
West Ham station,bromley railway station
West Ham station,canning town station
West Ham station,lhs
West Ham station,plaistow tube station
West Ham station,stratford dlr station
