Subject,Object
Baruch College,City University of New York
Bristol Bears,england rugby
CA Brive,ffr
City College of New York,City University of New York
Clearwater Christian College,National Christian College Athletic Association
Dickinson College,Oberlin Group
Exeter Chiefs,england rugby
Harlequin F.C.,england rugby
Leicester Tigers,england rugby
McGill University,Morrin College
Mercy College,National Association of Independent Colleges and Universities
Morehouse College,Atlanta University Center
National Park Service,western national parks association
Our Lady of Holy Cross College,Association of Catholic Colleges and Universities
Purdue University,Purdue University system
Queen Mary University of London,Alan Turing Institute
Sojourner–Douglass College,Antioch University
Toccoa Falls College,Christian and Missionary Alliance
TU Dresden,German Universities Excellence Initiative
University of Birmingham,Universitas 21
University of British Columbia,Association of Public and Land-grant Universities
University of Exeter,russell group
University of New Hampshire,Association of Public and Land-grant Universities
University of Tübingen,German Universities Excellence Initiative
Valencia College,Florida College System
Vivekananda Institute of Professional Studies,ggsip university
Worcester Warriors,england rugby
