Subject,Object
ABSA Cargo Airline,Viracopos International Airport
ABX Air,Miami International Airport
AirBridgeCargo Airlines,Sheremetyevo International Airport
ASL Airlines Belgium,eblg
ASL Airlines Belgium,Liege Airport
Bizair,Berlin Schönefeld Airport
Bremenfly,Berlin Schönefeld Airport
Continentale Deutsche Luftreederei,Hamburg Airport
DHL Air UK,East Midlands Airport
EgyptAir Cargo,Cairo International Airport
European Air Transport,Leipzig/Halle Airport
European Air Transport Leipzig,Leipzig/Halle Airport
LATAM Cargo Chile,Miami International Airport
Mistral Air,Brescia Airport
Qantas Freight,Sydney Airport
Silk Way West Airlines,Heydar Aliyev International Airport
Vibroair,Düsseldorf Mönchengladbach Airport
