Subject,Object
11th arrondissement of Paris,584
11th arrondissement of Paris,605
11th arrondissement of Paris,606
11th arrondissement of Paris,619
11th arrondissement of Paris,661
11th arrondissement of Paris,708
11th arrondissement of Paris,734
11th arrondissement of Paris,736
11th arrondissement of Paris,742
11th arrondissement of Paris,747
11th arrondissement of Paris,786
12th arrondissement of Paris,508
12th arrondissement of Paris,513
12th arrondissement of Paris,527
12th arrondissement of Paris,538
12th arrondissement of Paris,542
12th arrondissement of Paris,544
12th arrondissement of Paris,550
12th arrondissement of Paris,591
12th arrondissement of Paris,625
12th arrondissement of Paris,626
12th arrondissement of Paris,663
4th arrondissement of Paris,120
4th arrondissement of Paris,121
4th arrondissement of Paris,126
4th arrondissement of Paris,127
4th arrondissement of Paris,128
4th arrondissement of Paris,133
4th arrondissement of Paris,146
4th arrondissement of Paris,152
4th arrondissement of Paris,158
4th arrondissement of Paris,161
Australia,113815
Australia,119186
Australia,127161
Australia,78987
Australia,89167
Beersel,67
Belgium,44725
Brasschaat,125
Chaumont-Gistoux,35
Court-Saint-Étienne,33
Drogenbos,13
France,236826
France,238592
France,241000
France,245930
France,249069
France,251478
France,251654
France,265404
France,273669
France,273914
France,278439
France,279087
France,282756
France,283036
France,283984
France,286169
France,295720
France,305234
France,319900
France,516900
Incourt,18
Japan,621000
Japan,635156
Norway,22111
Perwez,32
Saint-Ghislain,69
Sint-Katelijne-Waver,64
Sint-Pieters-Leeuw,87
Sprimont,49
Stoumont,10
Turkey,488335
Turkey,542314
Turkey,554389
Turkey,563140
Turkey,567011
Turkey,568395
Turkey,569459
Turkey,575891
Turkey,592775
Turkey,594493
Turkey,599704
Turkey,600138
Turkey,602982
Turkey,603751
Vaucluse,1553
Vaucluse,2163
Vaucluse,2213
Vaucluse,2233
Vaucluse,2261
Vaucluse,2308
Veurne,47
Villers-la-Ville,40
Willebroek,91
