Subject,Object
87 Sylvia,3.81323982424
Apollo 14,108.9
Apollo 15,120.8
Apollo 17,109.3
CHEOPS,715.0
Kosmos 212,200.0
Kosmos 613,383.0
Kosmos 670,294.0
Kosmos 772,245.0
Mercury-Redstone 2,253.0
Mercury-Redstone 4,190.31
MESSENGER,10300.0
Moon,405500.0
Sentinel-1B,598.0
Soyuz 2,229.0
Soyuz TM-14,394.0
Soyuz TM-18,390.0
Soyuz TM-19,397.0
Soyuz TM-2,365.0
Soyuz TM-20,394.0
Soyuz TM-21,250.0
Soyuz TM-22,340.0
Soyuz TM-23,240.0
Soyuz TM-24,287.4
Soyuz TM-27,390.0
Soyuz TM-3,352.0
Soyuz TM-4,357.0
Soyuz TM-5,241.0
Soyuz TM-6,228.0
Soyuz TM-7,235.0
Soyuz TMA-2,242.0
Soyuz TMA-9,242.0
