Subject,Object
101 Piscium,6.125
101 Piscium,6.143
101 Piscium,6.177
101 Piscium,6.192
101 Piscium,6.210895
101 Piscium,6.219
1SWASP J011732.10+525204.9,13.98
1SWASP J160202.07+121213.5,13.27
1SWASP J222514.69+361643.0,12.63
20 Camelopardalis,5.197
20 Camelopardalis,5.326
20 Camelopardalis,5.747
20 Camelopardalis,7.210845
20 Camelopardalis,7.45
20 Camelopardalis,8.43
20 Camelopardalis,9.12
26 Canis Majoris,5.03
26 Canis Majoris,5.736
26 Canis Majoris,5.887287
26 Canis Majoris,5.897
26 Canis Majoris,6.227
26 Canis Majoris,6.362
26 Canis Majoris,6.387
2MASS J03401184+3155233,11.421
2MASS J08274034+2441411,16.4
2MASS J08294046-4251430,15.03
2MASS J09255597+0649540,14.57
2MASS J18035351-2421237,14.522
2MASS J18042772-2424321,16.982
2QZ J133326.9-021616,18.93
39 Draconis,5.034
39 Draconis,5.099
6 Draconis,1.661
6 Draconis,1.73
6 Draconis,2.575
6 Draconis,4.444701
6 Draconis,4.946
6 Draconis,6.255
87 Sylvia,12.87
[CWB2011] WLTV J045346.27-030329.0,16.9
[CWB2011] WLTV J045356.04-030619.7,17.99
[CWB2011] WLTV J160429.34+431016.8,17.33
[DCD2013] CSS J122638.1+093409,18.55
[DCD2013] CSS J130408.0+073718,18.72
[DCD2013] CSS J131106.8-030007,18.97
[DCD2013] CSS J131216.4+042216,19.1
[DCD2013] CSS J132745.4+054157,18.76
[DCD2013] CSS J132820.0+060507,18.8
[DCD2013] CSS J133849.5+084607,19.08
[DCD2013] CSS J134315.7+094544,19.0
[DCD2013] CSS J134844.7+010227,19.18
[DCD2013] CSS J135822.4-024448,19.13
[HL2008] 102471,21.361
[HL2008] 105409,22.37
[HL2008] 107410,22.899
[HL2008] 27222,22.344
[HL2008] 40356,22.388
[HL2008] 53697,22.074
[HL2008] 72535,22.322
[HL2008] 87768,22.255
[KMW87] P14523,19.322
[KMW87] P22263,20.045
[KMW87] Q11994,20.39
[KMW87] Q21314,20.666
[L2004] n 628-1140,19.73
[L2004] n 628-1885,19.82
[L2004] n 628-568,19.6
[L2004] n 628-717,20.92
[L2004] n 628-896,19.49
[L2004] n 628-927,21.0
[L99] n628-1099,19.99
[L99] n628-1807,20.69
[L99] n628-681,21.01
[L99] n628-824,20.99
[LKS2002] C174,20.037
[SS2011b] F2-16084,25.547
Alcyone,2.87
Alpha Caeli,3.65
Alpha Caeli,3.724
Alpha Caeli,3.9
Alpha Caeli,3.944
Alpha Caeli,4.11
Alpha Caeli,4.350951
Alpha Caeli,4.45
Alpha Caeli,4.79
Alpha Librae,2.8
ASAS J091748+1544.1,11.91
ASASSN -14gz,21.415
BD+44 1302,9.69
BD+67 1030,10.34
BD-00 2299,9.987
BD-04 3421,9.8
BD-06 1250,9.95
BD-16 248,9.48
Centaurus A,3.942
Centaurus A,4.271
Centaurus A,4.976
Centaurus A,6.66
Centaurus A,6.84
Centaurus A,8.18
Circinus Galaxy,10
Circinus Galaxy,10.6
