Subject,Object
1986 Bristol City Council election,Bristol
1987 Bristol City Council election,Bristol
1988 Bristol City Council election,Bristol
1990 Bristol City Council election,Bristol
1994 Texas gubernatorial election,lone star state
2002 Texas gubernatorial election,lone star state
2006 Illinois gubernatorial election,il
2009 Virginia gubernatorial election,commonwealth of virginia
2012 Tokyo gubernatorial election,edo
2012 United States House of Representatives elections in Hawaii,hawaii
2013 Virginia gubernatorial election,commonwealth of virginia
2014 Indian general election in Chhattisgarh,chattisgarh
2014 Indian general election in Gujarat,Gujarat
2014 Indian general election in Himachal Pradesh,Himachal Pradesh
2014 Indian general election in Karnataka,in-ka
2014 Indian general election in Kerala,Kerala
2014 Indian general election in Maharashtra,Maharashtra
2014 Indian general election in Tripura,Tripura
2014 Tokyo gubernatorial election,edo
2014 United States House of Representatives election in Guam,gu
2014 United States House of Representatives election in South Dakota,s. dak.
2016 United States presidential election in Pennsylvania,commonwealth of pennsylvania
Alabama Legislature,al
Alabama Senate,al
Alabama Senate,Alabama
Argentine National Congress,argentina
Arizona Senate,Arizona
Arkansas Senate,Arkansas
Asamblea Nacional Consultiva,Spain
Bristol City Council,City of Bristol
California Department of Corrections and Rehabilitation,California
California State Senate,California
Canadian Wildlife Service,can
"Central Goods and Services Tax Act, 2017",India
Clwyd County Council,Clwyd
Comarcal Council of Baix Camp,Baix Camp
Comarcal Council of Baix Penedès,Baix Penedès
Comarcal Council of Priorat,Priorat
Comarcal Council of Ribera d'Ebre,Ribera d'Ebre
Connecticut Department of Correction,Connecticut
Constitutional Court of Spain,kingdom of spain
Constitutional Court of Spain,Spain
Constitutional Court of Ukraine,territory of ukraine
Constitutional Court of Ukraine,Ukraine
Department for Education and Skills,Wales
Department of Education,Northern Ireland
Florida Department of Corrections,Florida
Georgia State Senate,Georgia
Goods and Services Tax,India
Government of Maryland,maryland
Governor of Maryland,maryland
Governor of Texas,lone star state
Greifswalder Oie,Mecklenburg-Vorpommern
Gwent County Council,Gwent
Himmelsberg,Hesse
Humberside County Council,Humberside
Illinois Department of Corrections,il
Illinois Department of Corrections,Illinois
"Integrated Goods and Services Tax Act, 2017",India
Italian Parliament,italia
Kansas Senate,Kansas
Kermeter,North Rhine-Westphalia
Kleve,euregio rhein-waal
Lages Levada a Sério,Lages
Legislative Assembly of Amapá,Amapá
Legislative Assembly of Espírito Santo,Espírito Santo
Legislative Assembly of Maranhão,Maranhão
Legislative Assembly of Mato Grosso do Sul,Mato Grosso do Sul
Legislative Assembly of Minas Gerais,Minas Gerais
Legislative Assembly of Paraná,Paraná
Legislative Assembly of Pernambuco,Pernambuco
Legislative Assembly of Pernambuco,pernambuco state
Legislative Assembly of Rio Grande do Sul,Rio Grande do Sul
Legislative Assembly of Roraima,Roraima
Legislative Assembly of Santa Catarina,Santa Catarina
Legislative Assembly of Sergipe,Sergipe
legislative body of Carlow County Council,County Carlow
legislative body of Clare County Council,County Clare
legislative body of Cork County Council,County Cork
legislative body of Donegal County Council,County Donegal
legislative body of Galway County Council,County Galway
legislative body of Kildare County Council,County Kildare
legislative body of Kilkenny County Council,County Kilkenny
legislative body of Limerick City and County Council,County Limerick
legislative body of Limerick City and County Council,Limerick
legislative body of Roscommon County Council,County Roscommon
legislative body of Sligo County Council,County Sligo
legislative body of Wicklow County Council,County Wicklow
Legislative Chamber of Federal District,Federal District
Maine Senate,Maine
Merionethshire County Council,Merionethshire
Mid Glamorgan County Council,Mid Glamorgan
Milton Keynes Council,Milton Keynes
Minister for Communities and Social Inclusion,South Australia
Minister for Disabilities,South Australia
Minister for Emergency Services,South Australia
"Minister for Manufacturing, Innovation and Trade",South Australia
Minister for Police,South Australia
Minister for Road Safety,South Australia
Minister for the River Murray,South Australia
Minister for Youth,South Australia
Minister of Social Welfare,South Australia
"Ministry of Education, Culture and Sport",Spain
Ministry of the Army,kingdom of spain
Montgomery County Council,Montgomery County
Municipal elections 2017 in Sastamala in Finland,Sastamala
Municipal elections 2017 in Sysmä in Finland,Sysmä
Municipal elections 2017 in Säkylä in Finland,Säkylä
Municipal elections 2017 in Taivalkoski in Finland,Taivalkoski
Municipal elections 2017 in Taivassalo in Finland,Taivassalo
Municipal elections 2017 in Tampere in Finland,Tampere
Municipal elections 2017 in Tervo in Finland,Tervo
Municipal elections 2017 in Teuva in Finland,Teuva
Municipal elections 2017 in Tohmajärvi in Finland,Tohmajärvi
Municipal elections 2017 in Vaala in Finland,Vaala
National Library of Australia,'straya
New Jersey Senate,New Jersey
New York State Senate,New York
Parliament of Montenegro,montenegro
Pennsylvania State Senate,commonwealth of pennsylvania
Pennsylvania State Senate,Pennsylvania
Pontifical Commission for Vatican City State,città del vaticano
Pra Avançar e Melhorar I,Várzea Grande
President of the United States,america
Renascer de Rio Das Ostras,Rio das Ostras
Rettbergsaue bei Wiesbaden,Hesse
South Dakota Senate,South Dakota
Southampton City Council,City of Southampton
Stoke-on-Trent City Council,City of Stoke-on-Trent
Texas Senate,Texas
Trabalho por uma Paulista Sustentável,Paulista
"Union Territory Goods and Services Tax Act, 2017",India
United States Department of Education,america
União e Igualdade,Caxias
União Trabalhista por Passo Fundo,Passo Fundo
Utah State Senate,Utah
Vermont General Assembly,state of vermont
Vermont Senate,state of vermont
Vermont Senate,Vermont
West Glamorgan County Council,West Glamorgan
York City Council,City of York
