Subject,Object
138 East 50th Street,Postmodern architecture
161 Maiden Lane,Postmodern architecture
Acquaviva Cathedral,Romanesque architecture
African Meeting House,federal architecture
Alexander Nevsky Cathedral,Byzantine Revival architecture
Alexander Nevsky Cathedral,Russian Revival architecture
Altes Museum,classical revival architecture
Arc de la casa de Mateu Tort,baroque architecture
Arc gòtic amb inscripció,Gothic architecture
Arch of Hadrian,ancient Roman architecture
Arcs del carrer Major,Gothic architecture
"Ascension Cathedral, Almaty",eclectic architecture
Atri Cathedral,Romanesque architecture
Barmoor Castle,Gothic Revival architecture
Basilica of Bom Jesus,baroque architecture
Basilica of Our Lady of the Pillar,neoclassicism
Basilica of Saint Anthony of Padua,romanesque art
Berlin Hackescher Markt station,neo-renaissance
Beyazıt Tower,ottoman architecture
Bodorgan Hall,Neoclassical architecture
Carbisdale Castle,Scottish Baronial architecture
Cathedral of Corfinio,Romanesque architecture
Cathedral of Saint Sava,Byzantine Revival architecture
Chafariz do Terreiro de Jesus,Neoclassical architecture
Church of Saint James the Greater,baroque architecture
Church of Saint John the Baptist,Czech Gothic architecture
Church of Saint Nicholas,baroque architecture
Church of Saint Wenceslaus,baroque architecture
Church of Saints Peter and Paul,baroque architecture
"Church of San Francisco Javier, Tepotzotlán",baroque architecture
"Church of San Ildefonso, Toledo",baroque architecture
Church of St. George,Neoclassical architecture
Church of the Assumption of the Virgin Mary,baroque architecture
Co-cathedral of San Pedro,Romanesque architecture
"Collegiate church of San Luis, Villagarcía de Campos",Renaissance architecture
Diablo Dam,neoclassicism
Dormition Cathedral,Russian architecture
Einstein Tower,expressionist architecture
el Crous,vernacular architecture
el Perer,vernacular architecture
el Reig,vernacular architecture
El Soler de Mansolí,Art Nouveau
Elkhorn Guard Station,rustic architecture
Fenollet,vernacular architecture
Font d'Hèrcules,neoclassicism
fontaine des Innocents,Renaissance architecture
Franziskusbrunnen,Baroque Revival architecture
Fshajt Bridge,ottoman architecture
Fürstenfeld Abbey,baroque architecture
Gobyoyama Kofun,Keyhole-shaped kofun
Golden Acre,Modern Movement
Graves Creek Ranger Station,rustic architecture
Gunetzrhainerhaus,Rococo
Gurk Cathedral,Romanesque architecture
Hafodunos,Gothic Revival architecture
Hailes Abbey,gothic architecture
Hamburg Dammtor station,art nouveau architecture
Hockett Meadow Ranger Station,rustic architecture
Hofburg Palace,Renaissance architecture
Horseshoe Lake Ranger Station,rustic architecture
I Gesuiti,baroque architecture
Iglesia de San Isidoro,baroque architecture
InterContinental Amstel Amsterdam,Renaissance Revival architecture
International Telecommunication Union Monument,Art Nouveau
"Jesuit Church, Lucerne",baroque architecture
Jesuitenkirche,Gothic architecture
"Kazan Cathedral, St. Petersburg",classicism
Kościół św. Barbary w Krakowie,Gothic architecture
la Riera,vernacular architecture
La Seo Cathedral,Romanesque architecture
Lincoln Castle,romanesque architecture
Literaturhaus München,neo-renaissance
Mas de la carretera de Tortosa a Santa Bàrbara,vernacular architecture
Mas del carrer Enric d'Ossó,vernacular architecture
Mas la Cau,vernacular architecture
Mas Martí,vernacular architecture
Mas Romaní,eclectic architecture
Melrose Abbey,gothic architecture
Metropolitan Cathedral of Athens,classical revival architecture
Metropolitan Cathedral of Athens,Neoclassical architecture
Miagao Church,baroque architecture
Mierons,vernacular architecture
Millennium Tower,Modern Movement
Monastère Sainte Catherine de Sienne,Gothic Revival architecture
Montgomery County Executive Office Building,Modern Movement
monument to Octave Gréard,eclectic architecture
Mortemer Abbey,Cistercian architecture
Nagayama Kofun,Keyhole-shaped kofun
