Subject,Object
A Scandal in Bohemia,https://standardebooks.org/ebooks/arthur-conan-doyle/the-adventures-of-sherlock-holmes/text/a-scandal-in-bohemia
An Unearthly Child,http://www.chakoteya.net/DoctorWho/1-1.htm
Gütersloh,Stadtarchiv Gütersloh
Iserlohn,Stadtarchiv Iserlohn
Lünen,Stadtarchiv Lünen
Patterns of Force,http://www.chakoteya.net/StarTrek/52.htm
The Canterville Ghost,https://standardebooks.org/ebooks/oscar-wilde/lord-arthur-saviles-crime-and-other-stories/text/the-canterville-ghost
The City on the Edge of Forever,http://www.chakoteya.net/StarTrek/28.htm
The Galileo Seven,http://www.chakoteya.net/StarTrek/14.htm
The Invisible Man,https://standardebooks.org/ebooks/h-g-wells/the-invisible-man
The Paranoid Style in American Politics,https://harpers.org/archive/1964/11/the-paranoid-style-in-american-politics/
