Subject,Object
10th arrondissement of Paris,2.89
11th arrondissement of Paris,3.67
12th arrondissement of Paris,6.38
1st arrondissement of Paris,1.83
3rd arrondissement of Paris,1.17
4th arrondissement of Paris,1.6
5th arrondissement of Paris,2.54
6th arrondissement of Paris,2.15
Aalten,97.04
Abangares Canton,675.76
Abdulinsky District,1785.81
Actopan,10.615
Adachi-ku,53.25
Adjara,2919.0
Aindling,31.38
Aindling,31.43
Akimiski Island Migratory Bird Sanctuary,353421.0
Akita,905.67
Akpabuyo,1241.0
Albalat dels Sorells,4.62
Albania,28748.0
Albany County,11160.0
Alberta,661848.0
Albina,397.0
Alexandrovsk-Sakhalinsky District,4777.4
Alicante,201.27
Alkmaar,31.22
Allen Township,23.9
Allen Township,30.1
Alluitsup Paa,4.59
Alt Empordà,1357.5
Alt Penedès,592.7
Altenburg,45.6
Altenburg,45.69
Altomünster,75.66
Amanda Township,71.9
Amanda Township,95.7
Ambatomainty,3792.0
Ambilobe,7714.0
Anambra State,4844.0
Anderson Township,80.8
Andramasina,1370.0
Andrés Ibáñez Province,4821.0
Angelina County,2239.0
Anoia,868.9
Antarctica,13720000.0
Antarctica,14000000.0
Antarctica,14200000.0
Aomori Prefecture,9645.64
Arakawa-ku,10.16
Argentina,2780400.0
Arivonimamo,1627.0
Army Cottage with return verandah,0.17126458
Aroma Province,4510.0
Ashkelon,48.0
Asmara,12158.1
Aston Rowant,11.82
At-Bashi District,15354.0
Atchampet mandal,191.17
Atlanta,347.080493
Atlanta,347.996293
Atsimo-Andrefana,66236.0
Atsimo-Atsinanana,18863.0
Aulavik National Park,12200.0
Australia,410977.0
Australia,7659861.0
Australia,7692024.0
Australia,8148250.0
Austria,83858.0
Austria,83878.99
Avon Park Air Force Range,911.7
Azor,2.415
Babruysk Voblast,8400.0
Babuganj Upazila,164.88
Babuganj Upazila,40742.0
Baden District,753.37
Baden-Württemberg,35751.65
Bages,1092.3
Bages,1299.1
Baguio,57.51
Baix Camp,697.1
Baix Llobregat,486.0
Baix Penedès,296.4
Bakerganj Upazila,101650.0
Bakerganj Upazila,411.36
Bakerganj Upazila,417.2
Bakers Narrows Provincial Park,145.0
Bali,5780.06
Bamna Upazila,101.05
Bamna Upazila,24970.0
Banaripara Upazila,134.31
Banaripara Upazila,134.32
Banaripara Upazila,33188.0
Bangladesh,147570.0
Bankass Cercle,9054.0
Barcelona,101.3
Batumi,64.9
Bay County,2676.0
Bayingolin Mongol Autonomous Prefecture,472472.1
Beersel,30.01
Belgrade,359.96
Bellen,3189.0
Beniaján,13.924
Berkshire,1261.9606
Berlin,891.12
Berlin,891.69
Bern,51.62
Betagi Upazila,167.75
Betagi Upazila,41452.0
Bhola Sadar Upazila,102095.0
Bhola Sadar Upazila,413.16
Biblioteca Casanatense,1250.0
Biblioteca Casanatense,2852.0
Biblioteca Nazionale Centrale di Roma,15558.0
Biblioteca Nazionale Centrale di Roma,51345.0
Biblioteca Riccardiana,220.0
Biblioteca Riccardiana,395.0
Biel/Bienne,21.19
Bigi Poika,2361.0
Binyamina-Giv'at Ada,25.718
