Subject,Object
Budyonnovsk hospital hostage crisis,firearm
Kyoto Animation arson attack,cigar lighter
Kyoto Animation arson attack,hammer
Kyoto Animation arson attack,knife
Kyoto Animation arson attack,lighter
Munich massacre,AK-47
September 11 attacks,airliner
Typhoon-class submarine,r-39 rif
Typhoon-class submarine,rpk-2 viyuga
Typhoon-class submarine,rpk-6 vodopad
Typhoon-class submarine,type 53
Typhoon-class submarine,type 65 torpedo
Yuno Gasai,ax
Yuno Gasai,beretta 92fs vertec
Yuno Gasai,h&k mp5
Yuno Gasai,katana
Yuno Gasai,kitchen knife
Yuno Gasai,machete
