Subject,Object
Greyfriars Bobby,Michael Stringer
Miracle of the White Stallions,isabell schlichting
Miracle of the White Stallions,Isabella Schlichting
Miracle of the White Stallions,werner schlichting
Song of the South,charles philippi
Song of the South,hal doughty
Song of the South,hugh hennesy
Song of the South,ken anderson
Song of the South,perry ferguson
Song of the South,phil barber
The Three Caballeros,bob cormack
The Three Caballeros,dick irvine
The Three Caballeros,ken anderson
The Three Caballeros,mary blair
The Three Lives of Thomasina,Michael Stringer
