Subject,Object
60 Minutes,1.78 : 1
Alice Through the Looking Glass,widescreen
Captain America: The Winter Soldier,"2,39 : 1"
Heroes,16:9
House,16:9
Ich heirate eine Familie,1.33 : 1
Incident on a Dark Street,1.33 : 1
Miracle of the White Stallions,1.33 : 1
Patterns of Force,1.33 : 1
Patterns of Force,4:3
Pretty Little Liars,1.78 : 1
Pretty Little Liars,16:9
Pulp Fiction,"2,35 : 1"
Saving Mr. Banks,"2,35 : 1"
Saving Mr. Banks,2.35:1
Smallville,1.78 : 1
Smallville,16:9
Star Wars: Episode I – The Phantom Menace,"2,35 : 1"
Star Wars: Episode I – The Phantom Menace,2.35:1
The City on the Edge of Forever,1.33 : 1
The City on the Edge of Forever,4:3
The Galileo Seven,1.33 : 1
The Galileo Seven,4:3
WWE Raw,1.33 : 1
WWE Raw,1.78 : 1
Zootopia,"2,39 : 1"
