Subject,Object
antimony,51
bismuth-195,83
bismuth-196,83
bismuth-197,83
bismuth-201,83
bismuth-202,83
bismuth-203,83
caesium-146,55
caesium-147,55
caesium-148,55
caesium-149,55
caesium-150,55
caesium-151,55
cerium-122,58
cerium-124,58
cerium-125,58
cerium-126,58
cerium-127,58
cerium-128,58
cerium-129,58
cerium-130,58
cerium-131,58
cerium-132,58
cobalt,27
copper,29
germanium-67,32
germanium-71,32
germanium-77,32
germanium-78,32
gold-200,79
gold-200m,79
gold-201,79
gold-202,79
gold-203,79
gold-204,79
gold-205,79
hafnium,72
iron-50,26
iron-51,26
iron-59,26
iron-61,26
iron-62,26
iron-63,26
iron-64,26
iron-65,26
iron-66,26
iron-67,26
lead-180,82
lead-181,82
lead-182,82
lead-183,82
lead-196,82
lead-197,82
lead-198,82
lead-199,82
lead-200,82
lead-201,82
manganese,25
molybdenum,42
nickel,28
osmium-177,76
osmium-178,76
osmium-179,76
osmium-180,76
osmium-181,76
osmium-182,76
osmium-183,76
osmium-184,76
osmium-185,76
rhodium,45
rubidium-100,37
rubidium-101,37
rubidium-102,37
rubidium-103,37
rubidium-94,37
rubidium-95,37
rubidium-96,37
rubidium-97,37
rubidium-98,37
rubidium-99,37
ruthenium-105,44
ruthenium-108,44
ruthenium-110,44
ruthenium-97,44
selenium,34
silver,47
tantalum,73
tellurium,52
tin,50
xenon-112,54
xenon-113,54
xenon-116,54
xenon-127,54
yttrium,39
zirconium,40
