Subject,Object
1873 FA Cup Final,3000
1914 FA Cup Final,72778
1956 FA Cup Final,100000
1987 FA Cup Final,96000
2006–07 Celtic League,661163
2007–08 Celtic League,609015
2008 FA Cup Final,89874
2008–09 Celtic League,731328
2009–10 Celtic League,818181
2010–11 Celtic League,1019634
2011 FA Cup Final,88643
2011–12 Pro 12,1042374
2012–13 Pro 12,1106873
2013–14 Pro 12,1107707
2014–15 Pro12,1159127
2015–16 Pro12,1144802
2016–17 Pro12,1184091
2017 Six Nations Championship,996662
2018 Six Nations Championship,991844
2019 Six Nations Championship,975125
Captain America: The Winter Soldier,1046009
Moon,12
Zootopia,2364677
