Subject,Object
Alec Douglas-Home,doctor of law (honorary)
Alec Douglas-Home,most ancient and most noble order of the thistle
Aleksandr Medved,honored master of sports of the ussr
Aleksandr Medved,merited coach of the ussr
Aleksandr Medved,orden lenina
Aleksandr Medved,order of the badge of honour
Aleksandr Medved,order of the red banner of labor
Aleksandr Medved,silver olympic order
Aleksandr Yevgenyev,honored master of sports of the ussr
Anna Konkina,honored master of sports of the ussr
Ardalion Ignatyev,honored master of sports of the ussr
Ardalion Ignatyev,order of the badge of honour
Ardalion Ignatyev,order of the red banner of labor
Basel,European City of the Reformation
Charlie Naismith,o.b.e.
Citigroup,Public Eye Tax Award
Colt Technology Services,National Telecommunications Award
David Coulthard,mbe
Degania Alef,israel prize
Dezső Gyarmati,athlete of the nation
Dezső Gyarmati,commander cross of the order of merit of the hungarian republic
Dezső Gyarmati,grand cross of the order of merit of hungary
Dezső Gyarmati,honorary citizen of budapest
Dezső Gyarmati,honorary citizen of budapest district ii
Dezső Gyarmati,hungarian heritage award
Dezső Gyarmati,international swimming hall of fame
Dezső Gyarmati,prima primissima prize
Dezső Gyarmati,silver olympic order
Felix Großschartner,cyclist of the year (austria)
Fyodor Khitruk,order of the badge of honour
Fyodor Khitruk,order of the red banner of labor
Galina Tsareva,honored master of sports of the ussr
Galina Tsareva,order of the badge of honour
Google,Big Brother Awards
Harold Wilson,doctor h.c.
Harold Wilson,financial times person of the year
Harold Wilson,honorary doctor of the bar-ilan university
Harold Wilson,instrument of degradation
Harold Wilson,o.b.e.
Hoffmann-La Roche,Lasker-DeBakey Clinical Medical Research Award
Lausanne,European City of the Reformation
Lewis Hamilton,mbe
László Rajk Jr.,commander cross of the order of merit of the hungarian republic
Microsoft,Big Brother Awards
Moon Jae-in,atlantic council global citizen award
Moon Jae-in,decoration for exceptional merits
Moon Jae-in,gold olympic order
Moon Jae-in,time 100
NPO Mashinostroyeniya,orden lenina
NPO Mashinostroyeniya,order of the red banner of labor
Petropavlovsk-Kamchatsky,order of the red banner of labor
Province of Savona,gold medal of military valour
Pulp Fiction,national board of review: top ten films
Raging Bull,academy award for best film editing
Raging Bull,national board of review: top ten films
Rocky,academy award for best film editing
Rocky,national board of review: top ten films
Romuald Klim,honored master of sports of the ussr
Romuald Klim,order of the badge of honour
Saving Mr. Banks,national board of review: top ten films
Sky Deutschland,Bavarian TV Awards
Sonny Colbrelli,giglio d'oro
Stuart O'Grady,australian sports medal
Stuart O'Grady,centenary medal
Stuart O'Grady,medal of the order of australia
Stuart O'Grady,oppy award
The City on the Edge of Forever,hugo award for best dramatic presentation
The Exorcist,academy award for best sound
The Godfather,national board of review: top ten films
The Godfather Part II,academy award for best art direction
Vasili Ippolitov,honored master of sports of the ussr
Victor Emmanuel II,civil order of savoy
Victor Emmanuel II,commemorative medal of the 1859 italian campaign
Victor Emmanuel II,elefantordenen
Victor Emmanuel II,gold medal of military valour
Victor Emmanuel II,grand cordon in the order of leopold
Victor Emmanuel II,grand master of the order of saints maurice and lazarus
Victor Emmanuel II,grand master of the order of the crown of italy
Victor Emmanuel II,grand master of the order of the most holy annunciation
Victor Emmanuel II,honorary doctor of the national autonomous university of mexico
Victor Emmanuel II,imperial order of saint alexander nevsky
Victor Emmanuel II,instrument of degradation
Victor Emmanuel II,knight of the order of saint joseph
Victor Emmanuel II,knight of the order of st. alexander nevsky
Victor Emmanuel II,knight of the order of the golden fleece
Victor Emmanuel II,medaglia d'argento al valore militare
Victor Emmanuel II,medaille militaire
Victor Emmanuel II,nichan ad-dam
Victor Emmanuel II,order of saint stephen of hungary
Victor Emmanuel II,order of st. andrew
Victor Emmanuel II,order of the black eagle
Victor Emmanuel II,order of the golden fleece
Victor Emmanuel II,order of the most holy annunciation
Victor Emmanuel II,royal order of kamehameha i
Victor Emmanuel II,royal order of the seraphim
Vladimir Putin,gold olympic order
Vladimir Putin,order of the badge of honour
Vladimir Putin,time 100
Yekaterinburg,orden lenina
Yoda,mtv movie award for best fight
Zootopia,bafta's children & young people award - feature film
Zootopia,broadcast film critics association award for best animated feature
Zürich,European City of the Reformation
