Subject,Object
1945 Danish Folketing election,2063965
1953 Danish general election,2184634
2005 Danish general election,3433012
2012 Tokyo gubernatorial election,6647744
2014 Indian general election in Basti Lok Sabha constituency,1048534
2014 Indian general election in Chalakudy Lok Sabha constituency,884033
2014 Indian general election in Chennai South Lok Sabha constituency,1081163
2014 Indian general election in Chhattisgarh,1187321
2014 Indian general election in Chikkballapur Lok Sabha constituency,1263274
2014 Indian general election in Dakshina Kannada Lok Sabha constituency,1207474
2014 Indian general election in Ghosi Lok Sabha constituency,1039656
2014 Indian general election in Gorakhpur Lok Sabha constituency,1040199
2014 Indian general election in Gurgaon Lok Sabha constituency,1320619
2014 Indian general election in Jammu Lok Sabha constituency,1253593
2014 Indian general election in Karnal Lok Sabha constituency,1193500
2014 Indian general election in Karnataka,1071103
2014 Indian general election in Kottayam Lok Sabha constituency,831636
2014 Indian general election in Mahasamund Lok Sabha constituency,1131209
2014 Indian general election in Mandla Lok Sabha constituency,1218518
2014 Indian general election in Mandya Lok Sabha constituency,1192638
2014 Indian general election in Mavelikkara Lok Sabha constituency,889060
2014 Indian general election in Rajnandgaon Lok Sabha constituency,1178296
2014 Indian general election in Varanasi Lok Sabha constituency,1030685
2014 Tokyo gubernatorial election,4930251
Eighth Amendment of the Constitution of Ireland,1265994
