Subject,Object
A Christmas Carol,A Christmas Carol
A Scandal in Belgravia,A Scandal in Bohemia
A Study in Pink,A Study in Scarlet
Buffalo Girls,Buffalo Girls
Cameo,Red Delicious
Cripps Pink,Golden Delicious
Cyrillic script,greek alphabet
Deepin,Debian
Elstar,Golden Delicious
Fedora,Red Hat Linux
Gloster,Glockenapfel
GNU/Linux,gnu
Go Ask Alice,Go ask Alice
gOS,Ubuntu
Idared,Wagener
Ido,esperanto
Kubuntu,Ubuntu
Linux Mint,Ubuntu
Lubuntu,Ubuntu
Mary Poppins,Mary Poppins
Mildred Pierce,Mildred Pierce
Miracle of the White Stallions,my dancing white horses
OpenBSD,4.4bsd
openSUSE,SUSE Linux
OpenTTD,transport tycoon
OpenTTD,transport tycoon deluxe
Pinova,Golden Delicious
Poliespo,esperanto
Popcorn Time,backbone.js
Popcorn Time,node
Raging Bull,raging bull: my story
Roll on the Red Tour,greatest hits
Smallville,clark jerome kent
Song of the South,Uncle Remus
Soviet Union,empire of russia
The City on the Edge of Forever,the city on the edge of forever
The Godfather,the godfather
The Godfather Part II,the godfather
Unix-like,unics
Victory Through Air Power,Victory Through Air Power
Who Framed Roger Rabbit,Who Censored Roger Rabbit?
Wowpedia,wowwiki
Β,𐤁
Μ,𐤌
Π,𐤐
Υ,𐤅
