Subject,Object
Borkener See,federal republic of germany
Clear Lake,Palau
Crater Lake,america
Goby Lake,Palau
Laguna Blanca,Bolivia
Lake Bolsena,italia
Lake Bracciano,italia
Lake Constance,austria
Lake Constance,confoederatio helvetica
Lake Constance,federal republic of germany
Lake Dukan,iq
Lake Dukan,ir
Lake Enriquillo,Dominican Republic
Lake Natron,Tanzania
Lake Retba,Senegal
Lake Shala,et
Lake Van,Turkey
Moselle,federal republic of germany
Moselle,france
Moselle,grand duchy of luxembourg
Osaka Bay,iapan
Rhine,confoederatio helvetica
Rhine,federal republic of germany
Rhine,fl
Rhine,france
Rhine,holland
Sebkha el Melah,Algeria
Seto Inland Sea,iapan
Solar Lake,Egypt
Uet era Ngermeuangel,Palau
Uet era Ongael,Palau
