Subject,Object
Aréthuse-class submarine,5.8
CCGS Des Groseilliers,19.84
CCGS Louis S. St-Laurent,24.39
CCGS Terry Fox,17.8
Elena L,13.17
Emsmoon,14.95
Foxtrot-class submarine,7.5
Helenic,11.8
Hotel-class submarine,9.2
Italian battleship Conte di Cavour,28
Kobben-class submarine,4.7
Los Angeles-class submarine,10.0
Resolution class submarine,10.1
RMS Queen Mary,36.14
RMS Transvaal Castle,27.5
SMS Ostfriesland,28.5
SMS Thüringen,28.5
SMS Westfalen,26.9
SS Huntsend,17.55
SS Stettin,13.43
Tim,12.6
Trafalgar-class submarine,9.8
Type 206 submarine,4.6
Typhoon-class submarine,23.3
Vohburg,22.0
Wilson Waal,9.46
