Subject,Object
30S ribosomal protein S7 Rv0683,protein biosynthesis
50S ribosomal protein L1 Rv0641,protein biosynthesis
cation transporter ATPase J Rv3743c,cation transport
chaperone protein DnaJ Rv2373c,DNA replication
chaperone protein DnaJ Rv2373c,response to heat
phosphoglycerate kinase Rv1437,glycolytic process
potassium-transporting ATPase subunit B Rv1030,potassium ion transport
thioredoxin reductase Rv3913,oxidation-reduction process
UDP-N-acetylglucosamine--N-acetylmuramyl-,cell division
UDP-N-acetylglucosamine--N-acetylmuramyl-,lipid glycosylation
urease accessory protein UreF Rv1851,nitrogen compound metabolic process
