Subject,Object
1796 United States presidential election,John Adams
1800 United States presidential election,Thomas Jefferson
1804 United States presidential election,Thomas Jefferson
1808 United States presidential election,James Madison
1812 United States presidential election,James Madison
1940 United States presidential election,Franklin Delano Roosevelt
1945 Danish Folketing election,communist party of denmark
1945 Danish Folketing election,conservative people's party
1945 Danish Folketing election,danish social liberal party
1945 Danish Folketing election,danish unity
1945 Danish Folketing election,independent
1945 Danish Folketing election,javnaðarflokkurin
1945 Danish Folketing election,justice party of denmark
1945 Danish Folketing election,people's party
1945 Danish Folketing election,social democracy
1945 Danish Folketing election,union party
1945 Danish Folketing election,venstre
1951 United Kingdom general election,Clement Attlee
1959 Hokkaido gubernatorial election,Setsuo Yokomichi
1964 United Kingdom general election,Alec Douglas-Home
1964 United Kingdom general election,jo grimond
1979 United Kingdom general election,James Callaghan
1994 Texas gubernatorial election,Ann Richards
1998 Illinois gubernatorial election,Glenn Poshard
2002 Texas gubernatorial election,Tony Sanchez
2006 Illinois gubernatorial election,Judy Baar Topinka
2006 Okinawa gubernatorial election,Yara Chōsuke
2009 Virginia gubernatorial election,Creigh Deeds
2010 United Kingdom general election,Liberal Democrats
2011 Osaka gubernatorial election,Kaoru Kurata
2012 Tokyo gubernatorial election,Kenji Utsunomiya
2014 Indian general election in Basti Lok Sabha constituency,Harish Dwivedi
2014 Indian general election in Chalakudy Lok Sabha constituency,Edappally Basheer
2014 Indian general election in Chennai South Lok Sabha constituency,Kanthavel D
2014 Indian general election in Chikkballapur Lok Sabha constituency,Veerappa Moily
2014 Indian general election in Dakshina Kannada Lok Sabha constituency,Janardhana Poojary
2014 Indian general election in Ghosi Lok Sabha constituency,Dara Singh Chauhan
2014 Indian general election in Gorakhpur Lok Sabha constituency,Yogi Adityanath
2014 Indian general election in Gurgaon Lok Sabha constituency,Rao Inderjit Singh
2014 Indian general election in Jammu Lok Sabha constituency,Madan Lal Sharma
2014 Indian general election in Karnal Lok Sabha constituency,Arvind Tiwari
2014 Indian general election in Kottayam Lok Sabha constituency,Mathew T. Thomas
2014 Indian general election in Mahasamund Lok Sabha constituency,Ajit Jogi
2014 Indian general election in Mandla Lok Sabha constituency,Faggan Singh Kulaste
2014 Indian general election in Mandya Lok Sabha constituency,Ramya
2014 Indian general election in Mavelikkara Lok Sabha constituency,P.Sudheer
2014 Indian general election in Rajnandgaon Lok Sabha constituency,Narendra Bansod
2014 Indian general election in Varanasi Lok Sabha constituency,Narendra Modi
2015 United Kingdom general election,Liberal Democrats
2016 Estonian presidential election,Urmas Paet
2016 Gambian presidential election,Yahya Jammeh
2016 Kiribati presidential election,Rimeta Beniamina
2016 United States presidential election in Pennsylvania,first lady clinton
February 1974 United Kingdom general election,Edward Heath
October 1974 United Kingdom general election,Harold Wilson
Wisconsin gubernatorial recall election,Tom Barrett
