Subject,Object
Colombia women's national football team,Natalia Gaitán
Croatia women's national football team,Iva Landeka
Finland women's national football team,Tinja-Riikka Korpela
Ghana women's national football team,Mercy Myles
Greece women's national football team,Natalia Chatzigiannidou
Iceland women's national football team,Sara Björk Gunnarsdóttir
Netherlands women's national football team,Sari van Veenendaal
Poland women's national football team,Patrycja Pożerska
Portugal women's national football team,Cláudia Neto
Republic of Ireland women's national football team,Emma Byrne
Scotland women's national football team,Rachel Corsie
Second voyage of HMS Beagle,admiral fitzroy
South Africa women's national association football team,Janine van Wyk
Ukraine women's national football team,Daryna Apanaschenko
