Subject,Object
Ashmolean Museum,category:interior of the ashmolean museum
Basilica of Candelaria,Category:Interior of the Basílica de Nuestra Señora de la Candelaria
Basilica of Saints Plechelm Wiro-and-Otger,"Category:Interior of Basiliek van Wiro, Plechelmus en Otgerus, Sint Odilienberg"
Bourg-en-Bresse Cathedral,category:interior of bourg-en-bresse cathedral
Castle Drogo,Category:Interior of Castle Drogo
Cathedral of the Archangel,Category:Interior of Cathedral of the Archangel in Moscow
Church of All Nations,Category:Interior of the Church of All Nations (Jerusalem)
Hardwick Hall,Category:Interior of Hardwick Hall
Iglesia de San Francisco de Asís,"Category:Interior of the Iglesia de San Francisco de Asís, Santa Cruz de Tenerife"
Kingston Lacy,Category:Interior of Kingston Lacy
Saint Isaac's Cathedral,Category:Interior of Saint Isaac's Cathedral
San Patrizio,Category:Interior of San Patrizio a Villa Ludovisi (Rome)
Santa Maria del Mar,Category:Interior of Santa Maria del Mar
Santa Sofia a Via Boccea,Category:Interior of Saint Sophia Cathedral in Rome
Uspenski Cathedral,Category:Interior of Uspenski Cathedral
