Subject,Object
30S ribosomal protein S7 Rv0683,ribosome
50S ribosomal protein L1 Rv0641,large ribosomal subunit
antibacterial peptide LL-37,intracellular
antibacterial peptide LL-37,specific granule lumen
cation transporter ATPase J Rv3743c,cell membrane
chaperone protein DnaJ Rv2373c,cytoplasm
ghrelin,cytoplasm
ghrelin,endoplasmic reticulum lumen
phosphoglycerate kinase Rv1437,cytoplasm
potassium-transporting ATPase subunit B Rv1030,cell membrane
thioredoxin reductase Rv3913,cytoplasm
UDP-N-acetylglucosamine--N-acetylmuramyl-,cell membrane
UDP-N-acetylglucosamine--N-acetylmuramyl-,membrane
urease accessory protein UreF Rv1851,cytoplasm
