Subject,Object
3rd term of the Senate of the Republic of Poland,Adam Struzik
4th term of the Senate of the Republic of Poland,Alicja Grześkowiak
5th term of the Senate of the Republic of Poland,Longin Pastusiak
8th term of the Sejm of the Republic of Poland,Marek Kuchciński
Allgemeiner Deutscher Fahrrad-Club,jan tebbe
American Association of Physical Anthropologists,Leslie C. Aiello
American Philosophical Association,Penelope Maddy
American Society for Microbiology,Rebecca Lancefield
Archaeological Institute of America,Charles Eliot Norton
Archaeological Institute of America,Jodi Magness
Armenian Catholic Archeparchy of Aleppo,Boutros Marayati
Association for Symbolic Logic,Julia F. Knight
Association of Black Anthropologists,Vera Green
CA Brive,simon gillham
Chaldean Catholic Archeparchy of Bagdad,Louis Raphaël I Sako
Chaldean Catholic Archeparchy of Kirkuk,Yousif Thomas Mirkis
Chaldean Catholic Archeparchy of Mosul,Michaeel Najeeb
European University Association,josep maria garrell
Kurdistan Workers' Party,abdullah ocalan
Kurdistan Workers' Party,bese hozat
Kurdistan Workers' Party,cemil bayık
Kurdistan Workers' Party,murat karayılan
Ministry of Health,Adam Vojtěch
Ministry of Health,Aurelijus Veryga
Ministry of Health,Giulia Grillo
Ministry of Health and Medical Education,Hassan Hashemi
Ministry of Health of Germany,Jens Spahn
Roman Catholic Diocese of San José del Guaviare,Nelson Jair Cardona Ramírez
Roman Catholic Diocese of San Juan Bautista de las Misiones,Pedro Collar Noguera
Roman Catholic Diocese of Santiago de María,William Ernesto Iraheta Rivera
Roman Catholic Diocese of Savona-Noli,Calogero Marino
Roman Catholic Diocese of Shendam,Philip Davou Dung
Society of Marxist Historians,Mikhail Pokrovsky
Société française d'archéologie,Jacqueline Sanson
United States Department of Health and Human Services,Sylvia Burwell
