Subject,Object
American Hustle,angelo errichetti
American Hustle,evelyn dawn knight
American Hustle,mel weinberg
An Unearthly Child,Barbara Wright
An Unearthly Child,Susan Foreman
Batman,Robin
Beauty and the Beast,beauty
Beauty and the Beast,the beast
Berts bekännelser,bert ljung
Berts bekännelser,dödgrävarn
Berts bekännelser,emilia ridderfjell
Berts bekännelser,erik linstett
Berts bekännelser,fredrik ljung
Berts bekännelser,jörgen karlsson
Berts bekännelser,madelene olsson
Berts bekännelser,milfred cherrey
Berts bekännelser,ove
Berts bekännelser,svea olsson
Berts bekännelser,torleif andersson
Berts bekännelser,åke nordin
Berts bravader,beda
Berts bravader,bert ljung
Berts bravader,emilia ridderfjel'ls father
Berts bravader,emilia ridderfjell
Berts bravader,emilia ridderfjell's mother
Berts bravader,erik linstett
Berts bravader,fredrik ljung
Berts bravader,hildur
Berts bravader,madelene olsson
Berts bravader,nadja nilsson
Berts bravader,olga
Berts bravader,ove
Berts bravader,paulina hlinka
Berts bravader,ragge
Berts bravader,reinhold
Berts bravader,roffe
Berts bravader,svea olsson
Berts bravader,torleif andersson
Berts bravader,åke nordin
Berts vidare betraktelser,agneta
Berts vidare betraktelser,bert ljung
Berts vidare betraktelser,dödgrävarn
Berts vidare betraktelser,erik linstett
Berts vidare betraktelser,fredrik ljung
Berts vidare betraktelser,ida gunnarsson
Berts vidare betraktelser,jan
Berts vidare betraktelser,jörgen karlsson
Berts vidare betraktelser,lena
Berts vidare betraktelser,louise beyer
Berts vidare betraktelser,madelene olsson
Berts vidare betraktelser,paulina hlinka
Berts vidare betraktelser,pavel
Berts vidare betraktelser,sandra nådensjö
Berts vidare betraktelser,svea olsson
Berts vidare betraktelser,tom tucker
Berts vidare betraktelser,åke nordin
Bolek and Lolek,Bolek and Lolek
Breaking Bad,Marie Schrader
Breaking Bad,Tuco Salamanca
Castle,Richard Castle
Childe Cycle,Donal Graeme
Chuck,Michael Tucker
Die Entführung aus dem Serail,Osmin
Don Giovanni,Leporello
Dragonlance,Tanis Half-Elven
