Subject,Object
Abraham,bakol
Abraham,father of the arabs
Abraham,isaac
Abraham,ishbak
Abraham,Ishmael
Abraham,jocxan
Abraham,Jokshan
Abraham,medan
Abraham,Midian
Abraham,shuah
Abraham,zimran
Aegina,Aeacus
Aeëtes,absyrtus
Aeëtes,aegialeus
Aeëtes,chalciope
Aeëtes,circe
Aeëtes,medea
Ares,Lord Conquest
Asa of Judah,jehosaphat
Asterodeia,Absyrtus
Baldur,Forseti
Barry Allen,don allen
Bram Stoker,irving noel thornley stoker
Corcyra,Alcinous
David,Absalom
David,Ibhar
Dezső Gyarmati,andrea gyarmati
Epimetheus,Pyrrha
Faramir,elboron
Ishmael,adbeel
Ishmael,basemath
Ishmael,dumah
Ishmael,hadad
Ishmael,jetur
Ishmael,kedar
Ishmael,kedemah
Ishmael,mahalath
Ishmael,massa
Ishmael,mibsam
Ishmael,mishma
Ishmael,naphish
Ishmael,nebaioth
Ishmael,tema
Jacob,asher
Jacob,ben oni
Jacob,dan
Jacob,dinah
Jacob,gad
Jacob,issachar
Jacob,joseph
Jacob,judah
Jacob,levi
Jacob,naftali
Jacob,reuben
Jacob,simeon
Jacob,zebulun
Jehoshaphat,azariah
Jehoshaphat,jehiel
Jehoshaphat,jehoram
Jehoshaphat,michael
Jehoshaphat,shephatiah
Jehoshaphat,zacarias
Jokshan,dedan
Jokshan,sheba
Joseph,Ephraim
Krishna,pradyumna
Krishna,Samba
Levi,gershon
Levi,jochebed
Levi,kehat
Levi,merari
Luke Skywalker,ben skywalker
Madame Rouge,Gemini
Moses,Eliezer
Moses,Gershom
Nereus,Calypso
Oceanus,Eridanos
Oceanus,Zeuxo
Princess Leia,ben solo
Prometheus,Chimaereus
Rama,Lava
Rhea,Ceres
Sita,Lava
Tethys,Asterope
Tethys,Hippo
Thor,magni
Thor,Móði
Thor,thrud
Trigon,Raven
Éowyn,elboron
