Subject,Object
Analysis of Wikipedia's Translation Tool and its uses in Education,Multilinguals and Wikipedia editing
"Chagas disease: ""the new HIV/AIDS of the Americas""",Mother-to-child transmission of Chagas' disease in North America: why don't we do more?
Classification of Knowledge Organization Systems with Wikidata,Peer-production system or collaborative ontology engineering effort: what is Wikidata?
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",DanNet: the challenge of compiling a wordnet for Danish by reusing a monolingual dictionary
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",SALDO: a touch of yin to WordNet’s yang
Data Sharing in Historical Perspective,Solving problems of disclosure risk in an academic setting: using a combination of restricted data and restricted access methods.
Epistle to the Colossians,epistle to the laodiceans
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents
Introducing Wikidata to the Linked Data Web,DBpedia - A crystallization point for the Web of Data
Introducing Wikidata to the Linked Data Web,Freebase: a collaboratively created graph database for structuring human knowledge
Magnetic resonance imaging approaches for studying alcoholism using mouse models.,"Detection of dopaminergic neurotransmitter activity using pharmacologic MRI: correlation with PET, microdialysis, and behavioral data."
Magnetic resonance imaging approaches for studying alcoholism using mouse models.,High magnetic field water and metabolite proton T1 and T2 relaxation in rat brain in vivo.
Magnetic resonance imaging approaches for studying alcoholism using mouse models.,In vivo fiber tracking in the rat brain on a clinical 3T MRI system using a high strength insert gradient coil
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,Enriching Word Vectors with Subword Information
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,The Scholix Framework for Interoperability in Data-Literature Information Exchange
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,Wikidata: A Free Collaborative Knowledgebase
Proteomic solutions for analytical challenges associated with alcohol research.,Label-free comparative analysis of proteomics mixtures using chromatographic alignment of high-resolution muLC-MS data.
Proteomic solutions for analytical challenges associated with alcohol research.,Quantitative comparison of proteomic data quality between a 2D and 3D quadrupole ion trap.
Proteomic solutions for analytical challenges associated with alcohol research.,Shotgun identification of protein modifications from protein complexes and lens tissue
Proteomic solutions for analytical challenges associated with alcohol research.,The Orbitrap: a new mass spectrometer.
RDFShape: An RDF playground based on Shapes,Shape expressions: an RDF validation and transformation language
T2WML: Table To Wikidata Mapping Language,Wikidata: A Free Collaborative Knowledgebase
Vandalism Detection in Wikidata,Detecting Wikipedia vandalism via spatio-temporal analysis of revision metadata?
Vandalism Detection in Wikidata,Freebase: a collaboratively created graph database for structuring human knowledge
Vandalism Detection in Wikidata,Towards Automatic Vandalism Detection in OpenStreetMap
Vandalism Detection in Wikidata,"Trust, but verify"
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,"Data organization of a Collaborative Research Center in an integrated, long-term research data platform"
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,"Scholia, Scientometrics and Wikidata"
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation
