Subject,Object
"Aakash Odedra: A dance in a hurricane of paper, wind and light",TED conferences
Adoration of the Magi,Uffizi Gallery
Al Gore: Averting the climate crisis,TED conferences
Alessandra Orofino: It’s our city. Let’s fix it,TED conferences
Alessandro Acquisti: What will a future without secrets look like?,TED conferences
Amy Smith: Simple designs to save a life,TED conferences
Andras Forgacs: Leather and meat without killing animals,TED conferences
Appliqué inv. 733,Arenys de Mar Museum
Arm Reliquary of the Apostles,Cleveland Museum of Art
Astrolabe-Quadrant: Gunter-type,Adler Planetarium
Astrolabe-Quadrant: Sutton-type,Adler Planetarium
Astrolabe-Quadrant: Universal Horizon/Azimuth,Adler Planetarium
Astrolabe: Stellar Compass,Adler Planetarium
Barbotine Vase,Cleveland Museum of Art
Bastian Schaefer: A 3D-printed jumbo jet?,TED conferences
Beaker,Cleveland Museum of Art
Bes Lamp,Cleveland Museum of Art
Bill Gates: Innovating to zero!,TED conferences
Black-Topped Bowl,Cleveland Museum of Art
Blackware Olla,Cleveland Museum of Art
Bottle,Cleveland Museum of Art
Bull's-head Lamp,Cleveland Museum of Art
Burt Rutan: The real future of space exploration,TED conferences
Candelabrum,Cleveland Museum of Art
Carafe Sirènes et Grenouilles,Cleveland Museum of Art
Carta Geologica do Estado de S. Paulo,João Baptista de Campos Aguirra Collection
Carta Geral do Estado de S. Paulo,João Baptista de Campos Aguirra Collection
Carta Geral do Estado de São Paulo,João Baptista de Campos Aguirra Collection
Carved Bowl,Cleveland Museum of Art
Chapa Circular,Santos Dumont Collection
Charles Robertson: Africa's next boom,TED conferences
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,Santos Dumont Collection
Cocktails and Cigarettes Punch Bowl,Cleveland Museum of Art
"Concurso ""Quem Deu Asas Ao Homem""",Santos Dumont Collection
Copo,Santos Dumont Collection
Crucifix,Department of Paintings of the Louvre
Crucifix no. 434,Uffizi Gallery
Crucifix with stories of the Passion and Redemption,Uffizi Gallery
Cup,Cleveland Museum of Art
Decorated Amphora with Ibex Head,Cleveland Museum of Art
Emperor Xuanzong's Flight to Shu,Metropolitan Museum of Art
"Eve Ensler: Suddenly, my body",TED conferences
Fifth Figure,Cleveland Museum of Art
"Figure of Varaha, the Boar incarnation of Vishnu",Ashmolean Museum
Finches and bamboo,Metropolitan Museum of Art
Frolicking Figures and Animals,Metropolitan Museum of Art
From Vækerø,Oslo Museum
Grandmother's Colour Button Collection,Teresia and Rafael Lönnström Foundation art collection
Grooms and Horses,Metropolitan Museum of Art
"Hans Rosling: Insights on HIV, in stunning data visuals",TED conferences
Hans Rosling: The best stats you've ever seen,TED conferences
Heraldic Roundel with Arms of the Canton of Zürich,Cleveland Museum of Art
Hetain Patel: Who am I? Think again,TED conferences
Homenagem A Henry Bazin,Santos Dumont Collection
Homenagem Ao Dr. Arnaldo Vieira de Carvalho,Santos Dumont Collection
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Santos Dumont Collection
Homenagem do Aero Club de France A Santos Dumont,Museu Paulista collection
Homenagem do Aero Club de France A Santos Dumont,Santos Dumont Collection
Homenagem do Aerolloyd Iguassú A Santos Dumont,Santos Dumont Collection
Homenagem do Presidente Campos Salles A Santos Dumont,Museu Paulista collection
Ilona Szabó de Carvalho: 4 lessons I learned from taking a stand against drugs and gun violence,TED conferences
In Plenty,Teresia and Rafael Lönnström Foundation art collection
Inariyama Sword,Saitama Prefectural Museum of the Sakitama Ancient Burial Mounds
Inscription of Abercius,musei vaticani
Joan Halifax: Compassion and the true meaning of empathy,TED conferences
Jogo Padrão,Santos Dumont Collection
Jorge Soto: The future of early cancer detection?,TED conferences
Joseph Kim: The family I lost in North Korea. And the family I gained.,TED conferences
Jug,Cleveland Museum of Art
Landscape with castle,Hermitage Museum
Lauren Zalaznick: The conscience of television,TED conferences
Madonna and Child with a Monkey,National Museum in Warsaw
Mapa de Estradas de Rodagem,João Baptista de Campos Aguirra Collection
Medalha Inter Aliados 1914-1918,Santos Dumont Collection
"Monstrance with the ""Paten of Saint Bernward""",Cleveland Museum of Art
"Musée Saint-Raymond, 26369",Musée Saint-Raymond
"Musée Saint-Raymond, 26395",Musée Saint-Raymond
Neck Amphora by Exekias,antikensammlung berlin
Odalisque with Slave,harvard art museum
Oren Yakobovich: Hidden cameras that film injustice in the world’s most dangerous places,TED conferences
