Subject,Object
A Dangerous Adventure,black-and-white
A Man's Man,black-and-white
A Scandal in Belgravia,color
American Hustle,color
Avatar 2,color
Bisharp,red
Captain America: The Winter Soldier,color
Cars 3,color
Churra,#ffffff
Churra,black
Drowzee,yellow
Durant,gray
Eddie Murphy Raw,color
Escavalier,gray
Exeggutor,yellow
Flushed Away,color
Girafarig,yellow
Good Friday,black
Hellboy,color red
How to Train Your Dragon 2,color
Hypno,yellow
Hällgrund,white
Ich heirate eine Familie,color
In the Days of Daniel Boone,black-and-white
Incident on a Dark Street,color
Kevin Hart: Laugh at My Pain,color
Les Vampires,black-and-white
Magnemite,color gray
Magnemite,gray
Magnezone,color gray
Magnezone,gray
Massachusetts,blue
Massachusetts,color green
Miracle of the White Stallions,color
Neminatha,black
Night of the Living Dead,black-and-white
Patterns of Force,color
Paul Mooney: Analyzing White America,color
Pietarsaari lighthouse,green
Probopass,gray
Pulp Fiction,color
Rocky,color
Sarah Silverman: Jesus Is Magic,color
Saving Mr. Banks,color
Son of Saul,color
Song of the South,color
Souls for Sables,black-and-white
Star Wars: Episode I – The Phantom Menace,color
The City on the Edge of Forever,color
The Exorcist,color
The Galileo Seven,color
The Godfather,color
The Godfather Part II,color
The Mummy,black-and-white
The New Mutants,color
The Original Kings of Comedy,color
The Original Latin Kings of Comedy,color
The Prude's Fall,black-and-white
The Santa Fe Trail,black-and-white
The Squaw Man,black-and-white
The Three Caballeros,color
Vallinsgrundet,gray
Wonder Woman 1984,color
Wynaut,blue
Xatu,color green
Xatu,green
Zootopia,color
Örngrund,red
