Subject,Object
Mona Lisa,Francesco del Giocondo
Palais Garnier,"charles-louis-napoléan, emperor of the french bonaparte"
Portinari Altarpiece,Tommaso Portinari
RB 11,Verkehrsverbund Berlin-Brandenburg
RB 113,Zweckverband für den Nahverkehrsraum Leipzig
RB 12,Verkehrsverbund Berlin-Brandenburg
RB 13,Verkehrsverbund Berlin-Brandenburg
RB 25,Verkehrsverbund Berlin-Brandenburg
RB 26,Verkehrsverbund Berlin-Brandenburg
RB 31,Verkehrsverbund Oberelbe
RB 51,Verkehrsverbund Berlin-Brandenburg
RB 52,Verkehrsverbund Berlin-Brandenburg
RB 55,Verkehrsverbund Berlin-Brandenburg
RB 56,Landesnahverkehrsgesellschaft Niedersachsen
RB 6,Nordhessischer Verkehrsverbund
RB 63,Verkehrsverbund Berlin-Brandenburg
RB 7,Nordhessischer Verkehrsverbund
Reichstag building,german empire
St. Francis in the Desert,Giovanni Michiel
The Angelus,Thomas Gold Appleton
The Daughters of Catulle Mendès,Catulle Mendès
The Milkmaid,Pieter van Ruijven
Venus of Urbino,guidobaldo ii della rovere
Venus of Urbino,"Guidobaldo II della Rovere, Duke of Urbino"
