Subject,Object
1927 Irish Open Badminton Championships,open championship
1956 US Open Badminton Championships,open championship
1957 US Open Badminton Championships,open championship
1958 Belgian Badminton Championships,national championship
1958 US Open Badminton Championships,open championship
1959 Belgian Badminton Championships,national championship
1959 US Open Badminton Championships,open championship
1960 Belgian Badminton Championships,national championship
1960 US Open Badminton Championships,open championship
1961 Belgian Badminton Championships,national championship
1962 Belgian Badminton Championships,national championship
1963 Australian Badminton Championships,national championship
1963 Belgian Badminton Championships,national championship
1963 Danish Badminton Championships,national championship
1963 Uber Cup,women's team
1963 US Open Badminton Championships,open championship
1964 Belgian Badminton Championships,national championship
1964 US Open Badminton Championships,open championship
1965 Belgian Badminton Championships,national championship
1965 Danish Badminton Championships,national championship
1965 US Open Badminton Championships,open championship
1966 Belgian Badminton Championships,national championship
1966 Danish Badminton Championships,national championship
1966 Uber Cup,women's team
1967 Australian Badminton Championships,national championship
1967 Belgian Badminton Championships,national championship
1968 Belgian Badminton Championships,national championship
1968 Danish Badminton Championships,national championship
1968 Irish Open Badminton Championships,open championship
1968 Welsh International Badminton Championships,open championship
1969 Danish Badminton Championships,national championship
1969 German Open Badminton Championships,open championship
1969 Welsh International Badminton Championships,open championship
1973 German Open Badminton Championships,open championship
1974 Danish Badminton Championships,national championship
1974 German Open Badminton Championships,open championship
1975 Uber Cup,women's team
1976 American Airlines Tennis Games – Singles,men's singles
1976 Danish Badminton Championships,national championship
1976 German Open Badminton Championships,open championship
1977 Plume d’Or,mixed team
1978 Pan American Badminton Championships,continental championship
1978 Plume d’Or,mixed team
1978 Uber Cup,women's team
1979 Plume d’Or,mixed team
1980 Plume d’Or,mixed team
1981 Plume d’Or,mixed team
1981 Uber Cup,women's team
1982 Plume d’Or,mixed team
1983 German Open Badminton Championships,open championship
1984 African Badminton Championships,continental championship
1984 Canadian Open Badminton Championships,open championship
1984 German Open Badminton Championships,open championship
1984 Plume d’Or,mixed team
1984 Welsh Badminton Championships,national championship
1985 German Open Badminton Championships,open championship
1985 Plume d’Or,mixed team
1985 Welsh Badminton Championships,national championship
1986 Plume d’Or,mixed team
1986 Welsh Badminton Championships,national championship
1987 Canadian Open Badminton Championships,open championship
1987 Dow Chemical Classic – Singles,women's singles
1987 German Open Badminton Championships,open championship
1987 Plume d’Or,mixed team
1987 Welsh Badminton Championships,national championship
1988 Canadian Open Badminton Championships,open championship
1988 Plume d’Or,mixed team
1988 Welsh Badminton Championships,national championship
1989 Canadian Open Badminton Championships,open championship
1989 Plume d’Or,mixed team
1989 Welsh Badminton Championships,national championship
1990 Canadian Open Badminton Championships,open championship
1990 Irish Open Badminton Championships,open championship
1990 Plume d’Or,mixed team
1990 Welsh Badminton Championships,national championship
1991 Plume d’Or,mixed team
1991 Welsh Badminton Championships,national championship
1992 Canadian Open Badminton Championships,open championship
1992 Irish Open Badminton Championships,open championship
1992 Welsh Badminton Championships,national championship
1992 Welsh International Badminton Championships,open championship
1993 Irish Open Badminton Championships,open championship
1993 Pan American Badminton Championships,continental championship
1993 Welsh Badminton Championships,national championship
1994 Irish Open Badminton Championships,open championship
1995 Canadian Open Badminton Championships,open championship
1995 Irish Open Badminton Championships,open championship
1995 Welsh International Badminton Championships,open championship
1996 Irish Open Badminton Championships,open championship
1996 Welsh International Badminton Championships,open championship
1997 Irish Open Badminton Championships,open championship
1998 African Badminton Championships,continental championship
1998 FA Women's Cup Final,women's association football
1998 Irish Open Badminton Championships,open championship
1998 Páginas Amarillas Open – Singles,women's singles
