Subject,Object
A Cambridge Mass,Ralph Vaughan Williams
Adagio in E for Violin and Orchestra,Wolfgang Amadeus Mozart
Alien Autopsy,Murray Gold
American Hustle,danny elfman
Ariettes oubliées,Claude Debussy
Ballades,Frédéric Chopin
Bandiera gialla,Artie Kornfeld
Batman,Neal Hefti
Bolek and Lolek,kazanecki
Bolek and Lolek,Tadeusz Kocyba
Breaking Bad,David Porter
Carmen Fantasy,Pablo de Sarasate
Castle,Robert Duncan
Chamber Music by Chopin,Frédéric Chopin
Chuck,Tim Jones
Civil Courage,Günther Illi
Concerto for Violin and Strings,Felix Mendelssohn
"Concerto No. 3 in F major, Op. 8, RV 293",Antonio Vivaldi
"Concerto No. 4 in F minor, Op. 8, RV 297",Antonio Vivaldi
Der Sommer der Gaukler,Gerd Baumann
Dichterliebe,Robert Schumann
Easter Oratorio,j s bach
Flushed Away,harry gregson-williams
Grave Decisions,Gerd Baumann
Harmoniemesse,Joseph Haydn
House of Cards,Jeff Beal
Ich heirate eine Familie,alain goraguer
Ich heirate eine Familie,Peter Sandloff
Incident on a Dark Street,elmer bernstein
It Might Be Time,Kevin Parker
Kim Novak Never Swam in Genesaret's Lake,Stefan Nilsson
Leave It to Beaver,Pete Rugolo
Malcolm in the Middle,John Flansburgh
Mary Poppins,Irwin Kostal
Mass in G minor,Ralph Vaughan Williams
Miracle of the White Stallions,paul j. smith
Miracle of the White Stallions,richard m. sherman & robert b. sherman
Missa brevis Sancti Joannis de Deo,Joseph Haydn
Missa in honorem Sanctissimae Trinitatis,Wolfgang Amadeus Mozart
Night Court,Jack Elliott
Ocean's Twelve,David Holmes
On Wenlock Edge,Ralph Vaughan Williams
Patterns of Force,George Duning
Piano Sonatas,Frédéric Chopin
Pippi Longstocking,Georg Riedel
popular trilogy,Giuseppe Verdi
Preludes,Frédéric Chopin
Pretty Little Liars,michael suby
Prva srpska železnica,Arsen Dedić
Reprise,Knut Schreiner
Requiem in C minor,Luigi Cherubini
Rondo in C for Violin and Orchestra,Wolfgang Amadeus Mozart
Saving Mr. Banks,thomas newman
Selekcja II. Skorpion,Andrzej Korzyński
Smallville,louis febre
Smallville,mark snow
Son of Saul,laszlo melis
Song of the South,allie wrubel
Song of the South,arthur james johnston
Song of the South,bob macgimsey
Song of the South,charles frederick wolcott
Song of the South,daniel anfiteatrov
Song of the South,Daniele Amfitheatrof
Song of the South,eliot daniel
Song of the South,hy heath
Song of the South,john george lange
Song of the South,paul j. smith
Song of the South,sam coslow
Stalin,Jan Zawierski
"Suddenly, Last Summer",Buxton Orr
"Suddenly, Last Summer",Malcolm Arnold
"Symphonies, no. 1, op. 7, F minor",Hugo Alfvén
"Symphonies, no. 2, op. 11, D major",Hugo Alfvén
Symphony in G minor,Robert Schumann
Symphony No. 1,Leevi Madetoja
Tatort: Gestern war kein Tag,Stephan Massimo
The 100,Liz Phair
The City on the Edge of Forever,Alexander Courage
The Expanse,Clinton Shorter
The Galileo Seven,Alexander Courage
The Larry Sanders Show,Frank Fitzpatrick
The Neon Demon,Cliff Martinez
The Second Booke of Songes or Ayres,John Dowland
The Three Caballeros,agustin lara
The Three Caballeros,ary barroso
The Three Caballeros,benedicto lacerda
The Three Caballeros,braguinha
The Three Caballeros,charles frederick wolcott
The Three Caballeros,charro gil
The Three Caballeros,dorival caymmi
The Three Caballeros,ed plumb
The Three Caballeros,manuel esperon
The Three Caballeros,paul j. smith
The West Wing,W. G. Snuffy Walden
Tristan i Izolda,Enriko Josif
Turn: Washington's Spies,Marco Beltrami
Violin Concerto,György Ligeti
Violin Concerto No. 1,Dmitri Shostakovich
Violin Concerto No. 2,Henryk Wieniawski
Violin Concerto No. 3,Wolfgang Amadeus Mozart
Violin concerto No. 4,Aarre Merikanto
Violin Concerto No. 4,Wolfgang Amadeus Mozart
Violin Concerto No. 5,Wolfgang Amadeus Mozart
Who Framed Roger Rabbit,Alan Silvestri
Works for Piano and Orchestra,Frédéric Chopin
Yummy,Justin Bieber
