Subject,Object
11th U-boat Flotilla,2nd world war
11th U-boat Flotilla,World War II
12.7 cm/40 Type 89 naval gun,2nd world war
1st Ukrainian Front,World War II
20.3 cm SK C/34 naval gun,2nd world war
26th U-boat Flotilla,2nd world war
26th U-boat Flotilla,World War II
28 cm SK C/28 naval gun,2nd world war
29th U-boat Flotilla,2nd world war
29th U-boat Flotilla,World War II
2nd U-boat Flotilla,2nd world war
2nd U-boat Flotilla,World War II
2nd Ukrainian Front,World War II
3rd U-boat Flotilla,2nd world war
Armia Krajowa,World War II
Bryansk Front,World War II
Fighter Wing 4,World War II
Flik 41J,World War I
Frederick Heriot,"1812, war of"
Frederick Peake,1st world war
Fyodor Khitruk,2nd world war
Guy Armoured Car,World War II
Hungarian Front,World War II
Italian battleship Conte di Cavour,1st world war
Italian battleship Conte di Cavour,2nd world war
Jagdgeschwader 72,World War II
John T. Thompson,1st world war
John T. Thompson,spanish american war
Mouvement National Royaliste,World War II
No. 62 Wing RAAF,2nd world war
No. 62 Wing RAAF,World War II
North Caucasian Front,World War II
Norwegian resistance movement,World War II
OA vz. 27,2nd world war
OA vz. 27,World War II
OA vz. 30,2nd world war
OA vz. 30,World War II
Sd.Kfz. 247,World War II
SMS Ostfriesland,1st world war
SMS Westfalen,1st world war
Thompson submachine gun,2nd world war
Transbaikal Front,World War II
USS Ganadoga,2nd world war
USS Kittaton,2nd world war
USS Natahki,2nd world war
Vladimir Putin,russian military intervention in the syrian civil war
Volkhov Front,World War II
Wernher von Braun,2nd world war
