Subject,Object
10th arrondissement of Paris,Porte-Saint-Denis
11th arrondissement of Paris,folie-mericourt
11th arrondissement of Paris,quartier de la roquette
11th arrondissement of Paris,quartier saint-ambroise
11th arrondissement of Paris,quartier sainte-marguerite
12th arrondissement of Paris,quartier de bercy
12th arrondissement of Paris,quartier de picpus
12th arrondissement of Paris,quartier des quinze-vingts
12th arrondissement of Paris,quartier du bel-air
1st arrondissement of Paris,Place-Vendôme
3rd arrondissement of Paris,Archives
4th arrondissement of Paris,quartier de l'arsenal
4th arrondissement of Paris,quartier notre-dame
4th arrondissement of Paris,quartier saint-gervais
4th arrondissement of Paris,quartier saint-merri
5th arrondissement of Paris,Saint-Victor
6th arrondissement of Paris,Saint-Germain-des-Prés
Acomayo Province,Acos District
Adjara,keda ilçesi
Adjara,khelvachauri municipality
Adjara,khulo municipality
Adjara,kobuleti municipality
Adjara,shuakhevi municipality
Albania,berat county
Albania,dibra
Albania,durrës county
Albania,elbasan county
Albania,fier county
Albania,gjirokaster county
Albania,korce county
Albania,kukës county
Albania,lezhë county
Albania,qyteti i shkodres
Albania,tirana county
Albania,vlore county
Alt Penedès,avinyonet del penedes
Alt Penedès,castellet i la gornal
Alt Penedès,castellvi de la marca
Alt Penedès,el pla del penedes
Alt Penedès,font-rubi
Alt Penedès,gelida
Alt Penedès,la granada
Alt Penedès,les cabanyes
Alt Penedès,mediona
Alt Penedès,olerdola
Alt Penedès,olesa de bonesvalls
Alt Penedès,pacs del penedes
Alt Penedès,pontons
Alt Penedès,puigdalber
Alt Penedès,san sadurní de noya
Alt Penedès,sant cugat sesgarrigues
Alt Penedès,sant llorenç d'hortons
Alt Penedès,sant marti sarroca
Alt Penedès,sant pere de riudebitlles
Alt Penedès,sant quinti de mediona
Alt Penedès,santa fe del penedes
Alt Penedès,santa margarida i els monjos
Alt Penedès,subirats
Alt Penedès,terrassola i lavit
Alt Penedès,torrelles de foix
Alt Penedès,vilafranca del penedes
Alt Penedès,vilobi del penedes
Alto Mijares,Ludiente
Altötting,Mehring
Altötting,Teising
Altötting,Tyrlaching
Angelina County,Lufkin
Anoia,argençola
Anoia,bellprat
Anoia,cabrera d'anoia
Anoia,calaf
Anoia,calonge de segarra
Anoia,capellades
Anoia,carme
Anoia,castellfollit de riubregos
Anoia,castelloli
Anoia,copons
Anoia,el bruc
Anoia,els hostalets de pierola
Anoia,els prats de rei
Anoia,jorba
Anoia,la llacuna
Anoia,la pobla de claramunt
Anoia,la torre de claramunt
Anoia,masquefa
Anoia,montmaneu
Anoia,orpi
Anoia,piera
Anoia,pujalt
Anoia,rubio
Anoia,san francisco
Anoia,sant marti de tous
Anoia,sant marti sesgueioles
Anoia,sant pere sallavinera
Anoia,santa margarida de montbui
Anoia,santa maria de miralles
Anoia,vallbona d'anoia
Anoia,veciana
Anoia,òdena
Aomori Prefecture,hirakawa
Aomori Prefecture,misawa
Aomori Prefecture,mutsu
Aomori Prefecture,towada
Argentina,buenos aires province
Argentina,catamarca
Argentina,chaco province
Argentina,chubut province
Argentina,cordoba province
Argentina,corrientes province
Argentina,entre rios province
Argentina,formosa province
Argentina,jujuy province
Argentina,la pampa
Argentina,la rioja province
Argentina,mendoza province
Argentina,misiones province
Argentina,neuquen province
Argentina,"provincia de tierra del fuego, antartida e islas del atlantico sur"
Argentina,rio negro province
Argentina,salta province
Argentina,san juan province
Argentina,san luis
Argentina,santa cruz province
Argentina,santa fe province
Argentina,santiago del estero province
Argentina,tucuman
Australia,au-nsw
Australia,au-qld
Australia,au-sa
Australia,au-vic
Australia,heard and macdonald islands
Australia,n.t.
Australia,state of wa
Austria,austrian styria
Austria,lower austria
Austria,ländle
Austria,oberösterreich
Austria,salzburg
Austria,tirol
Babruysk Voblast,Asipovichy District
Babruysk Voblast,Kiraŭsk District
Babruysk Voblast,Slutsk District
Baden-Württemberg,freiburg government region
Baden-Württemberg,karlsruhe government region
Bages,aguilar de segarra
Bages,artes
Bages,avinyo
Bages,balsareny
Bages,callus
Bages,cardona
Bages,castellbell i el vilar
Bages,castellfollit del boix
Bages,castellgali
Bages,castellnou de bages
Bages,el pont de vilomara i rocafort
Bages,fonollosa
Bages,gaia
Bages,manresa
Bages,marganell
Bages,monistrol de montserrat
Bages,mura
Bages,navarcles
Bages,navàs
Bages,rajadell
Bages,sallent
