Subject,Object
Aalten,'t klooster
Aalten,'t villeken
Aalten,aalten
Aalten,barlo
Aalten,bredevoort
Aalten,dale
Aalten,de heurne
Aalten,dinxperlo
Aalten,groot deunk
Aalten,haart
Aalten,heurne
Aalten,hollenberg
Aalten,ijzerlo
Aalten,lintelo
Alkmaar,alkmaar
Alkmaar,boekelermeer
Alkmaar,de nollen
Alkmaar,de rijp
Alkmaar,driehuizen
Alkmaar,graft
Alkmaar,grootschermer
Alkmaar,koedijk
Alkmaar,markenbinnen
Alkmaar,noordeinde
Alkmaar,oost-graftdijk
Alkmaar,oterleek
Alkmaar,oudorp
Alkmaar,schermerhorn
Alkmaar,starnmeer
Alkmaar,stompetoren
Alkmaar,ursem
Alkmaar,west-graftdijk
Alkmaar,zuidschermer
Blansko,staré blansko
Bludenz,ausserbraz
Bludenz,bings
Fukuoka,hakata
Haaksbergen,boekelo
Haaksbergen,brammelo
Haaksbergen,buurse
Haaksbergen,den braam
Haaksbergen,eppenzolder
Haaksbergen,harmöle
Haaksbergen,honesch
Haaksbergen,langelo
Haaksbergen,st. isidorushoeve
Haaksbergen,stepelo
Haarlemmermeer,Cruquius-Oost
Haarlemmermeer,Nieuwe Meer
Heerhugowaard,Butterhuizen
Kolsh,Lalm-Lukaj
Labinot-Fushë,Godolesh
Labinot-Fushë,griqan i poshtëm
Labinot-Fushë,griqan i sipërm
Labinot-Fushë,labinot-fushë
Labinot-Fushë,mengël
Labinot-Fushë,xibrakë
Lelystad,lelystad
"Levan, Fier",bashkim
"Levan, Fier",bishan
"Levan, Fier",boçovë
"Levan, Fier",ferras
"Levan, Fier",levan
"Levan, Fier",martinë
"Levan, Fier",peshtan i madh
"Levan, Fier",Peshtan i Vogël
"Levan, Fier",pishë
"Levan, Fier",pishë-poro
"Levan, Fier",qarr
"Levan, Fier",shtyllas
Litoměřice,mentaurov
Madrid,el pardo
Murgeni,Schineni
Nikël,Rinas
Nové Město pod Smrkem,přebytek
Potcoava,Sinești
Přibyslav,Keřkov
Raspenava,Peklo
Roznov,Slobozia
Răcari,Stănești
Selishtë,Kacni
Selishtë,lukan
Selishtë,murrë
Selishtë,qafë-murrë
Selishtë,selishtë
Selishtë,selishtë e sipërme
Shtiqën,Gjallicë
Shtiqën,krenzë
Shtiqën,lumë
Shtiqën,shtiqën
Shtiqën,shtiqën-mujaj
Stoumont,chevron
Stoumont,la gleize
Stoumont,lorce
Stoumont,rahier
Sukth,hamallaj
Sukth,Hidrovori
Sukth,kullë
Sukth,perlat
Sukth,rrushkull
Sukth,sukth
Sukth,vadardhë
Texel,den burg
Trutnov,Bezděkov
Trutnov,bezděkov u trutnova
Uherské Hradiště,jarošov
Uherské Hradiště,mařatice
Uherské Hradiště,míkovice
Uherské Hradiště,rybárny
Uherské Hradiště,sady
Uherské Hradiště,vésky
Veurne,booitshoeke
Veurne,bulskamp
Veurne,de moeren
Veurne,houthem
Veurne,steenkerke
Veurne,vinkem
Veurne,wulveringem
Veurne,zoutenaaie
Xibër,gur i bardhë
Xibër,ketë
Xibër,petralbë
Xibër,shkallë
Xibër,Xibër-Hane
Xibër,xibër-murriz
