Subject,Object
A'a Trail,North America
Abbot Ice Shelf,Antarctica
African Meeting House,003 (un m.49 code)
Akpabuyo,africa
Albalat dels Sorells,europe
Albania,europe
Alberta,003 (un m.49 code)
Alicante,europe
Anambra State,africa
Argentina,s america
Australia,australia and oceania
Australia,Oceania
Austria,europe
Bach Ice Shelf,Antarctica
Bangladesh,asia
Barcelona,europe
Base Primavera,Antarctica
Belbédji Department,africa
Belgium,Europe
Belgrade,europe
Bellingshausen Sea,antarctica
Berlin,europe
Bern,europe
Big Thicket National Preserve Visitor Center,North America
Bight of Biafra,africa
Borno State,africa
Boston,003 (un m.49 code)
Botswana,africa
Brandenburg,europe
Brenner Regional Council,asia
Budd Coast,Antarctica
Buenos Aires,america
Burgos,europe
Buzfuz Rock,Antarctica
Cameroon,africa
Central African Republic,africa
Chad,africa
Commonwealth of the Philippines,asia
Coyote Valley Trail,North America
Cube Rock,Antarctica
Czech Republic,europe
Czechoslovakia,europe
Czerniejewo,europe
Damagaram Takaya Department,africa
Davis Station,Antarctica
Detroit,003 (un m.49 code)
Diablo Dam,003 (un m.49 code)
Douthat State Park,003 (un m.49 code)
Drum Rock,Antarctica
East Stack,Antarctica
Ebonyi State,africa
Edinburgh,europe
Enugu State,africa
Envoy Rock,Antarctica
Esperanza Base,Antarctica
Estay Rock,Antarctica
Federated States of Micronesia,australia and oceania
Federated States of Micronesia,insular oceania
Fitton Rock,Antarctica
Florida,003 (un m.49 code)
France,africa
France,america
France,antarctica
France,Europe
France,insular oceania
Fukuoka,asia
Geneva,europe
Geoffrey Hills,Antarctica
Georgenberg,Europe
Gerlache Strait,antarctica
Ghana,africa
Gonzen,Europe
Grasslands Nature Trail,North America
Greenland,003 (un m.49 code)
Hamhung,asia
Haworth Mesa,Antarctica
Hockett Meadow Ranger Station,003 (un m.49 code)
Horseshoe Lake Ranger Station,003 (un m.49 code)
Hubbell Trading Post National Historic Site Visitor Center,North America
Idaho,003 (un m.49 code)
Illinois,003 (un m.49 code)
India,asia
Ingrid Christensen Coast,Antarctica
Iraq,asia
Israel,asia
Italy,africa
Italy,europe
Japan,Asia
Jelbart Ice Shelf,Antarctica
Jerusalem,asia
Kartal,asia
Kazakhstan,asia
Kazakhstan,europe
Kemp Coast,Antarctica
Kentucky,003 (un m.49 code)
Kingdom of Iraq,asia
Kingdom of the Netherlands,003 (un m.49 code)
Kingdom of the Netherlands,africa
Kingdom of the Netherlands,asia
Kingdom of the Netherlands,europe
Kingdom of the Netherlands,s america
Koll Rock,Antarctica
Kraków,europe
Kreiling Mesa,Antarctica
Kumamoto,asia
Kurdistan Region,asia
Kyrgyzstan,asia
Lake Tahoe Basin Management Unit,003 (un m.49 code)
Lars Christensen Coast,Antarctica
Lava Cast Forest Trail,North America
Lazarev Ice Shelf,Antarctica
Lesotho,africa
Libya,africa
Linn Mesa,Antarctica
Long House Loop,North America
Long House Loop Trail,North America
Los Angeles,003 (un m.49 code)
Madrid,europe
Maine,003 (un m.49 code)
Mali,africa
Malta Plateau,Antarctica
Mandatory Iraq,asia
Manila,asia
Marinid Sultanate,Africa
Massachusetts,003 (un m.49 code)
Mauritius,africa
Mawson Peak,insular oceania
McDonald Ice Rumples,Antarctica
McMurdo Ice Shelf,Antarctica
Menemen railway station,asia
Mont Donon,Europe
Montenegro,europe
Moreno Rock,Antarctica
Mormont,Europe
Morocco,africa
Natural Bridges Visitor Center,North America
Nazi Germany,europe
Netherlands,europe
New York City,003 (un m.49 code)
New Zealand,australia
New Zealand,australia and oceania
New Zealand,insular oceania
North Korea,asia
North Pond Wildlife Trail,North America
Norway,Europe
Palau,australia and oceania
Palau,insular oceania
Palmer Station,Antarctica
Paraguay,s america
Pasłęk,europe
Pebble Beach Golf Links,003 (un m.49 code)
Pekanbaru,asia
Pennsylvania,003 (un m.49 code)
Peru,s america
Phelps Rock,Antarctica
Philippines,asia
Poland,europe
Prince Harald Coast,Antarctica
Quar Ice Shelf,Antarctica
Quebec,003 (un m.49 code)
Redwood Meadow Ranger Station,003 (un m.49 code)
Rhine,europe
Romania,europe
Rome,europe
Saint Helena,africa
SANAE IV,Antarctica
Sangre de Cristo Wilderness,003 (un m.49 code)
Sant Joan de Moró,europe
Santa Elena Canyon Trail,North America
Saxe-Weimar-Eisenach,europe
Sisco Mesa,Antarctica
Slovakia,europe
Sochi,europe
Socialist Republic of Romania,europe
South Georgia and the South Sandwich Islands,s america
Soviet Union,asia
Soviet Union,europe
Spain,africa
Spain,america
Spain,europe
