Subject,Object
.NET Framework,expat license
.NET Framework,non-free license
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
Actualidad Económica,Creative Commons Attribution-NonCommercial-NoDerivatives
Adobe AIR,non-free license
Allegro,zlib License
Antike und Antikenrezeption in sächsischen Museen. Ausstellungsgeschichte – Bestandsentwicklung – Technologiewandel,Creative Commons Attribution 4.0 International
Applied nanoscience,Creative Commons Attribution
Astropy,BSD licenses
Blender,"GNU General Public License, version 3.0"
BZFlag,gnu lesser general public license
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,Creative Commons Attribution
Contexto revista de la facultad de arquitectura de la UANL,Creative Commons Attribution-NonCommercial
Cygwin,"gnu general public license, version 3.0"
Cygwin,"gnu lesser general public license, version 3.0 or later"
Deepin,GNU General Public License
Der Lichtenburger Konvent von 1576,Creative Commons Attribution 4.0 International
Derive,commercial software
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
Fedora,free license
FLTK,GNU Lesser General Public License
Freeciv,"gnu general public license, version 2.0"
Frozen Bubble,freeware
Frozen Bubble,"gnu general public license, version 2.0"
GeoGebra,cc by-nc-sa 3.0
GeoGebra,general public licence
GeoGebra,GNU General Public License
GeoGebra,non-free license
GNOME Maps,"GNU General Public License, version 2.0"
GNU/Linux,general public licence
gOS,Creative Commons license
Granatier,"GNU General Public License, version 2.0"
Grasas y Aceites,Creative Commons Attribution-NonCommercial
Grundlagen der Bibliotheksarbeit: Offenheit als Maxime in der Forschung,Creative Commons Attribution 4.0 International
GTK,GNU Lesser General Public License
GTK,"GNU Lesser General Public License, version 2.1"
"Heimatforschung in Europa – ein Aufruf, oder: Call for Participation",Creative Commons Attribution 4.0 International
Hystrix,Creative Commons Attribution-NonCommercial
I2P,bsd licenses
I2P,expat license
I2P,general public licence
I2P,GNU General Public License
I2P,released into pd
Informes de la Construcción,Creative Commons Attribution-NonCommercial
Inuktitut Wikipedia,attribution-sharealike 3.0 unported
Iranian journal of environmental health science & engineering,Creative Commons Attribution
Journal of diabetes and metabolic disorders,Creative Commons Attribution
Journal of environmental health science & engineering,Creative Commons Attribution
Kajongg,"GNU General Public License, version 2.0"
Kapman,"GNU General Public License, version 2.0"
KBlackbox,"GNU General Public License, version 2.0"
