Subject,Object
.NET Framework,copyright-protected
A Cambridge Mass,public domain
A Dangerous Adventure,public domain
A Scandal in Bohemia,dp
Abraham Van Helsing,dp
Adobe AIR,copyright-protected
Apuntes bibliográficos de la prensa carlista,public domain
"Apuntes para una biblioteca española de libros, folletos y artículos, impresos y manuscritos, relativos al conocimiento y explotación de las riquezas minerales y a las ciencias auxiliares : acompañados de reseñas biográficas y de un ligero resumen",public domain
Ariettes oubliées,public domain
Aristophanes 12,public domain
Aristophanes 14,public domain
Aristophanes 16,public domain
Aristophon 7,public domain
Arm Reliquary of the Apostles,public domain
Astropy,copyright-protected
Barbotine Vase,public domain
Beauty and the Beast,dp
Bes Lamp,public domain
Black-Topped Bowl,public domain
Blackware Olla,copyrighted
Bottle,copyrighted
Bull's-head Lamp,public domain
BZFlag,copyright-protected
Błagalnice,public domain
Candelabrum,public domain
Carved Bowl,copyrighted
Cinderella,dp
Cocktails and Cigarettes Punch Bowl,copyrighted
Cup,copyrighted
Cup,public domain
Cygwin,copyright-protected
Decorated Amphora with Ibex Head,public domain
Diccionario biográfico de artistas valencianos,public domain
Diccionario biográfico matritense,public domain
Diccionario biográfico y bibliográfico de escritores y artistas catalanes del siglo XIX,public domain
Dichterliebe,public domain
Die Entführung aus dem Serail,public domain
Diptych of Munich,public domain
Don Giovanni,public domain
"Développemens de la décoration intérieure, et des Peintres du plafond de la Galerie de Versailles",public domain
Easter Oratorio,dp
El toreo. Gran diccionario tauromáquico,public domain
Embroidered Tondo from an Altar Frontal: The Coronation of the Virgin,public domain
Ensayo de un catálogo de periodistas españoles del siglo XIX,public domain
Ethan Frome,public domain
Faste des Puissances voisines de la France,public domain
FLTK,copyright-protected
"Fragmentary Icon Panel, Christ in Glory",public domain
Freeciv,copyright-protected
Frozen Bubble,copyright-protected
Galería biográfica de artistas españoles del siglo XIX,public domain
Gamengrund und Rüdersdorf,public domain
GeoGebra,copyright-protected
GNU Emacs,copyright-protected
GNU/Linux,copyright-protected
GTK,copyright-protected
Hanging with Christian Images,public domain
Harmoniemesse,public domain
Hofstede de Groot catalog raisonné volume 3,public domain
Hofstede de Groot catalog raisonné volume 4,public domain
Hofstede de Groot catalog raisonné volume 5,public domain
Hofstede de Groot catalog raisonné volume 6,public domain
Hofstede de Groot catalog raisonné volume 7,public domain
Hofstede de Groot catalog raisonné volume 8,public domain
Huckleberry Finns äventyr,public domain
Icon of the Virgin and Child,public domain
Ido,dp
Im Spreewald,public domain
Im Warthebruch,public domain
In the Days of Daniel Boone,public domain
In's Land Lebus,public domain
In's Ruppiner Land,public domain
Inuktitut Wikipedia,copyright-protected
Król Henryk IV. Część II,public domain
Król Henryk V,public domain
Król Henryk VI. Część I,public domain
KWrite,copyright-protected
Le Roi Arme sur Terre et sur Mer 1672,public domain
Le Roi donne ses ordres pour attaquer en même tems quatre des plus fortes places de la Hollande 1672,public domain
Le Roi gouverne par lui meme 1661,public domain
Le Roi prend Mastrich en trente jours 1673,public domain
Leafpad,copyright-protected
Les Vampires,public domain
Lisa Simpson,copyright-protected
Little Red Riding Hood,dp
Lolita,copyright-protected
Manual de biografía y de bibliografía de los escritores españoles del siglo XIX,public domain
Mass in G minor,public domain
Mesures des Espagnols Rompues par la prise de Gand,public domain
Microsoft Windows,copyright-protected
Missa brevis Sancti Joannis de Deo,public domain
Missa in honorem Sanctissimae Trinitatis,public domain
"Monstrance with the ""Paten of Saint Bernward""",public domain
MS-DOS,copyright-protected
My Life,public domain
Nabucco,public domain
New Testament,dp
Odalisque with Slave,dp
Oliver Twist,public domain
On Wenlock Edge,public domain
OpenBSD,copyright-protected
OpenTTD,copyright-protected
Panda3D,copyright-protected
Passage du Rhin en présence des ennemis 1672,public domain
Patterns of Force,copyright-protected
Pearl in the Palm,dp
Pearl in the Palm,public domain
Persowie,public domain
Pitcher,public domain
Plate,copyrighted
Plate with the Arms of the Pucci Family,public domain
Plate with the Arms of the Vitelleschi Family,public domain
Popcorn Time,copyright-protected
Portrait of Alessandro Marcello.,public domain
Portrait of Anton Francesco Doni.,public domain
Portrait of Ercole Bottrigari.,public domain
Portrait of Françoise-Auguste Gevaert.,public domain
Portrait of Jules Beer,public domain
Portrait of Nicolò Coccon.,public domain
Portrait of unknown,public domain
Prise de la Ville et Citadelle de Gand en six jours 1678,public domain
Reliquary of the True Cross,public domain
Requiem in C minor,public domain
Resolution prise de faire la guerre aux Hollandois 1671,public domain
RPyC,copyright-protected
ScientificPython,copyright-protected
