Subject,Object
300: Rise of an Empire,Alexandra Byrne
American Hustle,Michael Wilkinson
Another Way,Emőke Csengey
Battle of Warsaw 1920,Magdalena Tesławska
Black Panther,Ruth E. Carter
Blackhat,Colleen Atwood
Child 44,Jenny Beavan
Fantastic Beasts and Where to Find Them,Colleen Atwood
Gemini Man,Suttirat Anne Larlarb
Joker,Mark Bridges
Mad Max: Fury Road,Jenny Beavan
Miracle of the White Stallions,leo bei
Pan,Jacqueline Durran
Pulp Fiction,Betsy Faith Heimann
Pulp Fiction,betsy heimann
Saving Mr. Banks,dan orlandi
Schindler's List,Anna B. Sheppard
Son of Saul,edit szucs
Son of Saul,Edit Szűcs
Star Trek Beyond,Sanja Milkovic Hays
Sunset,Györgyi Szakács
The Dark Valley,Natascha Curtius-Noss
The Shape of Water,Luis Sequeira
Thor,Alexandra Byrne
War Horse,Joanna Johnston
