Subject,Object
Aleksandr Yevgenyev,Soviet Union
Clive Allen,eng
Corinna Halke,br dtld.
Corinna Halke,West Germany
Denmark national football team,danemark
Dimitri Poliakov,cccp
Dimitri Poliakov,Soviet Union
Dorando Pietri,italia
Fedir Bohatyrchuk,can
Fedir Bohatyrchuk,cccp
Fedir Bohatyrchuk,empire of russia
Guo Jie,Republic of China (1912–1949)
Iran at the FIFA World Cup,ir
Kenneth Macdonald Beaumont,United Kingdom of Great Britain and Ireland
Marianne Vos,holland
Milka Babović,Yugoslavia
Pauline Chen Lee,Chinese Taipei
Richard Henry Abbatt,United Kingdom of Great Britain and Ireland
Rudi Cerne,West Germany
Spain women's national football team,kingdom of spain
