Subject,Object
2025,Yoram Zack
4 Gats,Ramón Casas
Abraham Van Helsing,abraham stoker
Abraham Van Helsing,Bram Stoker
Amenophis II-E 3176,anonymous
Animais de Criação,André Libault
Appliqué inv. 724,Marià Castells i Simón
Appliqué inv. 733,Marià Castells i Simón
Appliqué inv. 734,Marià Castells i Simón
Appliqué inv. 739,Marià Castells i Simón
Appliqué inv. 848,Fábrica de blondas y encajes Castells
Appliqué inv. 9472,Marià Castells i Simón
Appliqué inv. 9619,Marià Castells i Simón
Astrolabe-Quadrant: Gunter-type,anonymous
Astrolabe-Quadrant: Gunter-type,Daniel Harris
Astrolabe-Quadrant: Sutton-type,Henry Sutton
Astrolabe-Quadrant: Sutton-type,Walter Hayes
Astrolabe-Quadrant: Universal Horizon/Azimuth,anonymous
Astrolabe: Stellar Compass,Edward Ayearst Reeves
Atlantean,Marc Okrand
Attic black-figure votive plate,anonymous
attic geometric Neck amphora,Workshop of Athens 894
Aureliano Leite,Luís Morrone
Bart Simpson,Matt Groening
Black Speech,J. R. R. Tolkien
Blissymbols,Charles K. Bliss
Bolak,Léon Bollack
Bolek and Lolek,władysław nehrebecki
Border of Heads and Palmettes from a Large Hanging,anonymous
Bottle,Howard Kottler
Bradley his book,Will H. Bradley
Cable,Louise Simonson
Candelabrum,Peter Carl Fabergé
Carolina Ribeiro,Luís Morrone
Carta Geologica do Estado de S. Paulo,João Pedro Cardoso
Carta Geral do Estado de S. Paulo,João Pedro Cardoso
Carta Geral do Estado de São Paulo,João Pedro Cardoso
Carta Geral do Estado de São Paulo,Valdemar Lefèvre
Cesnola krater,Cesnola Painter
Cocktails and Cigarettes Punch Bowl,Viktor Schreckengost
Cocorico,Théophile Steinlen
Coin,anonymous
Complete Fragment #9,Olga de Amaral
Conan the Barbarian,Robert E. Howard
Condições Oceanográficas,André Libault
Conhecimento Cartográfico,André Libault
couple,Karl Hänny
Création,Gustave Piguet
Cup,J. Guyonnet
Cup,Peter Bateman
Cyborg,Marv Wolfman
Cycles et Automobiles Legia,Georges Gaudy
Cycles Perfecta,Alphonse Mucha
Dancing Muse,Jean-Louis-Ernest Meissonier
Die Trauernde,Gerhard Marcks
Dinâmica do Povoamento,André Libault
Dothraki language,George R. R. Martin
Elephants,Raoul Dufy
Equestrian statue of Dom Pedro I,João Maximiano Mafra
Eretz Nehederet,Muli Segev
Family Feud,Mark Goodson
Four Tapestries from 'The Months of Lucas',Lucas van Leyden
Fulls de la vida,Santiago Rusiñol
General Duroc at Castiglione,Jean-Louis-Ernest Meissonier
Ghent Altarpiece,Jan van Eyck
Gladiator with sword,Jean-Louis-Ernest Meissonier
Grandmother's Colour Button Collection,Katja Syrjä
History of Medea and Jason,Jean François de Troy
Horses Amphora,anonymous
Ido,Louis de Beaufront
In Blue,Jim Hodges
In Plenty,Mari Syrén
Inspiration,Gustave Piguet
ISU Judging System,international skating union
José Augusto César Salgado,Luís Morrone
Judy Jetson,Hanna-Barbera
Kylix by the Providence Painter,Greek vase-painter
Lace sample inv. 851,Marià Castells i Simón
Lady Henen-E 33145,anonymous
Lagôa Dourada . Commissão Geographica e Geologica de Minas Gerais Flha. Nº. 27,Alvaro da Silveira
Lincos,Hans Freudenthal
Lingua Ignota,Hildegard of Bingen
Lisa Simpson,Matt Groening
Llibre d'Horas,Adrià Gual
Luke Skywalker,george lucas
male figure,Gustave Piguet
Mapa de Estradas de Rodagem,Associação Paulista de Boas Estradas
Marquess of Linlithgow Memorial,William Birnie Rhind
Metallo,al plastino
Metallo,r. berns
Mixteca Series #12,Evelyn Svec Ward
Modern Art,Arthur Wesley Dow
Monument of the Five Days of Milan,Giuseppe Grandi
Monumento ai Caduti,Enrico Manfrini
Morbius,eli katz
Morbius,roy thomas
"Musée Saint-Raymond, 2000 14 129",anonymous
"Musée Saint-Raymond, 26369",anonymous
"Musée Saint-Raymond, 26395",anonymous
"Musée Saint-Raymond, 26411",APZ Painter
"Musée Saint-Raymond, 26422",anonymous
Naked man or gladiator,Jean-Louis-Ernest Meissonier
Napoleon I,Emmanuel Frémiet
Neck Amphora by Exekias,Exekias
Night Court,reinhold weege
Odalisque with Slave,dominique ingres
Peony,Kate Faulkner
Pitcher,Émile Gallé
Planta do Sitio do Piquiry,Pio Angelo
Plate with the Arms of the Pucci Family,Francesco Xanto Avelli
Poliespo,Billy Ray Waldon
Princess Leia,George Lucas
Professor Hamilton,Jerry Ordway
Qui-Gon Jinn,George Lucas
Rebel Alliance,george lucas
Return of the prodigal son-Clémence Sophie de Sermezy-MG 4738,Clémence Sophie de Sermézy
Rickon Stark,George R. R. Martin
Russian,Garth Ennis
Ryanverse,thomas clancy
Salon Pedal,Alexandre de Riquer
Saturday Night Live,Lorne Michaels
scenes from the history of Mary,François Baud
scenes from the New Testament,Marcel Perincioli
scenes from the Passion of Christ,Marcel Perincioli
Seven Sorrows Polyptych,Albrecht Dürer
Skyphos,Painter of Naples 146751
Smallville,al gough
Smallville,miles millar
Snakeshead,William Morris
Sphinx of king Siamon-E 3914,anonymous
Statue of Adoniran Barbosa,Luís Morrone
"Statue of Godfrey, First Viscount Tredegar",William Goscombe John
Tapestries of the Gods,Claude Audran III
Teapot,Louis Rorimer
Teapot,Nathaniel Hurd
Terracotta aryballos signed by Nearchos,Nearchos
"The Annunciation, with Saint Emidius",carlo crivelli
The Child Gardeners,Charles Le Brun
The Gods,Claude Audran III
The Muses,Charles Le Brun
The Serpent Chooses Adam and Eve,George Cohen
The Story of Marie de Medici,Peter Paul Rubens
The trumpet of Murcie,Jean-Louis-Ernest Meissonier
Thé Rajah,Henri Meunier
Tiger devouring a gazelle,Antoine-Louis Barye
Toki Pona,Sonja Lang
tree of life,Albert Schilling
Tulip,William Morris
untitled,Karl Schenk
Untitled,Lenore Tawney
Untitled,Lou Jones
Vase,Edward Lycett
Vase,Louis Comfort Tiffany
Vase,Walter Crane
Vase,Émile Gallé
Venus of Urbino,called titian tiziano vecelli
Victor Emmanuel II,Giulio Monteverde
Wadjet-E 4720,anonymous
Wepwawet-AF 287,anonymous
Wonder Woman,Elizabeth Holloway Marston
Wonder Woman,H. G. Peter
Wounded horse,Jean-Louis-Ernest Meissonier
Yoda,george lucas
