Subject,Object
Apollo 14,Alan Shepard
Apollo 15,David Scott
Apollo 17,Harrison Schmitt
Mercury-Redstone 2,Ham
Mercury-Redstone 4,Gus Grissom
Soyuz TM-14,Aleksandr Kaleri
Soyuz TM-14,aleksandr stepanovich viktorenko
Soyuz TM-14,klaus-dietrich flade
Soyuz TM-14,michel ange-charles tognini
Soyuz TM-18,Yury Usachov
Soyuz TM-19,Yuri Malenchenko
Soyuz TM-2,Muhammed Faris
Soyuz TM-20,aleksandr stepanovich viktorenko
Soyuz TM-20,valeri polyakov
Soyuz TM-23,Yury Usachov
Soyuz TM-24,Aleksandr Kaleri
Soyuz TM-27,Léopold Eyharts
Soyuz TM-3,aleksandr stepanovich viktorenko
Soyuz TM-3,Muhammed Faris
Soyuz TM-4,Viktor Savinykh
Soyuz TM-5,Viktor Savinykh
Soyuz TM-6,Jean-Loup Chrétien
Soyuz TM-7,aleksandr aleksandrovich volkov
Soyuz TM-7,jean-loup chretien
Soyuz TM-7,Jean-Loup Chrétien
Soyuz TM-7,sergei konstantinovich krikalev
Soyuz TM-7,valeri polyakov
