Subject,Object
Aldford Iron Bridge,River Dee
Brenztalbrücke,Brenz
Caiyuanba Bridge,blue river
Caiyuanba Bridge,Yangtze
Cesse Aqueduct,Cesse
Cosgrove aqueduct,River Great Ouse
Dom Luís I Bridge,Douro River
Fresquel Aqueduct,Fresquel
Gerickesteg,Spree
Golden Gate Bridge,golden gate
Göltzsch Viaduct,Göltzsch
Göltzschtalbrücke,Göltzsch
Herbettes Aqueduct,A620 autoroute
Hohenzollern Bridge,Rhine
Jiujiang Yangtze River Bridge,Yangtze
Kelvin Aqueduct,Kelvin
Monocacy Aqueduct,Monocacy River
Moselle Viaduct,mosel
Moselle Viaduct,Moselle
Naviduct Krabbersgat,Provincial road N302
Neubrügg,aar
Orbiel Aqueduct,Orbiel
Passyunk Avenue Bridge,schuylkill
Passyunk Avenue Bridge,Schuylkill River
Ponto do Pocinho,Douro River
Siuslaw River Bridge,Siuslaw River
Smithfield Street Bridge,Monongahela River
Stretton Aqueduct,A5 road
Throgs Neck Bridge,east river
Tianxingzhou Yangtze River Bridge,Yangtze
University Avenue Bridge,schuylkill
Wuhu Yangtze River Bridge,Yangtze
Øresund Bridge,Øresund
Čiovo bridge,Trogirski Kanal
