Subject,Object
Afghanistan,culture of Afghanistan
Bhutan,culture of Bhutan
Botswana,culture of Botswana
Burkina Faso,culture of Burkina Faso
Central African Republic,culture of the Central African Republic
Diosphos Painter,Ancient Greece
Dipylon Master,Ancient Greece
Lucera Painter,Ancient Greece
Mali,culture of Mali
Painter of the Aachen horsehead,Ancient Greece
South Sudan,culture of South Sudan
Tajikistan,culture of Tajikistan
Zambia,culture of Zambia
Zimbabwe,Culture of Zimbabwe
