Subject,Object
Alberta,$
Alicante,euros
Austria,austrian schilling
Austria,euro
Austria,euros
Austria,reichsmark
Cameroon,central african cfa franc
Central African Republic,central african cfa franc
Chad,central african cfa franc
Federated States of Micronesia,$
France,euros
Greenland,danish krone
Italy,euros
Japan,japanese yen
Kingdom of the Netherlands,$
Kingdom of the Netherlands,euros
Libya,dinar
Libya,libyan pound
Montenegro,euros
Nazi Germany,reichsmark
Netherlands,$
Netherlands,euro
Netherlands,euros
Palau,$
Quebec,$
Slovakia,euros
Spain,euros
Texel,euros
Turkey,denemek
Turkey,trl
Turkmenistan,tmt
Uganda,uganda shilling
Vatican City,euros
