Subject,Object
Aaron,-1395-01-01T00:00:00Z
Aaron Clauset,2000-01-01
Abraham,-1813-01
Abraham Van Helsing,1900-01-01
Ahab,-0934-01-01T00:00:00Z
Ahmed Aboutaleb,1961-08-29
Al Hirschfeld,1903-06-21
Albert Van Vlierberghe,1942-03-18
Alec Douglas-Home,1903-07-02
Aleksandr Medved,1937-09-16
Aleksandr Yevgenyev,1961-07-20
Alexander Courage,1919-12-10
Alexey Lutsenko,1992-09-07
Aline Bonetto,2000-01-01
Alison Owen,1961-02-18
Amand Audaire,1924-09-28
Andrei Zintchenko,1972-01-05
Andrzej Sekuła,1954-12-19
André Darrigade,1929-04-24
Anna Konkina,1947-07-14
Anthony of Padua,1195-08-15
Ardalion Ignatyev,1930-11-24
Ardalion Ignatyev,1930-12-22
Artie Kornfeld,1942-09-09
Asa of Judah,-0932-01
Aya Sumika,1980-08-22
Bert Clay,1915-05-07
Beth McCarthy-Miller,1963-09-03
Bill Justice,1914-02-09
Bill Peet,1915-01-01
Bill Peet,1915-01-29
Birger Ruud,1911-08-23
Bram Stoker,1847-03-08
Bram Stoker,1847-11-08
Brian Austin Green,1973-07-15
Bud Yorkin,1926-02-22
Charles F. Wheeler,1915-12-15
Charles F. Wheeler,1916-01-01
Charlie Naismith,1881-05-31
Christian Knees,1981-03-05
Christoph Pfingsten,1987-11-20
Clarence Darrow,1857-04-18
Clive Allen,1961-05-20
Colleen Hanabusa,1951-05-04
Corinna Halke,1957-07-09
Creigh Deeds,1958-01-04
Curlin,2004-03-25
Cyrus the Great,-0600-01
Daniel Budiman,1983-05-25
Danny Elfman,1953-05-29
David Coulthard,1971-03-27
David Ogden Stiers,1942-10-31
Denny Vrandečić,1978-02-27
Dezső Gyarmati,1927-10-23
Diego Ulissi,1989-07-15
Dimitar Makriev,1984-01-07
Dimitri Poliakov,1968-01-19
Diosphos Painter,-0550-01
Dobrotitsa,1400-01-01
Dominique Rollin,1982-10-29
Dorando Pietri,1885-10-16
Dylan Bruno,1972-09-06
Edgar Lungu,1956-11-11
Edward H. Plumb,1907-06-06
Elimar Klebs,1852-10-15
Esta Soler,1947-01-01
Evaldas Šiškevičius,1988-12-30
Fedir Bohatyrchuk,1892-11-15
Felipe Massa,1981-04-25
Felix Großschartner,1993-12-23
François Vauglin,1969-12-22
Frederick Heriot,1786-01-11
Frederick Peake,1886-06-12
Fyodor Khitruk,1917-04-18
Fyodor Khitruk,1917-05-01
Galina Tsareva,1950-04-19
Geordan Murphy,1978-04-01
Geordan Murphy,1978-04-19
George Duning,1908-02-25
Georges Wolinski,1934-06-28
Georges Wolinski,1934-06-29
Giorgio Andreoli,1465-01-01
Good Magic,2015-01-01
Gus Grissom,1926-04-03
Gérard Biard,1959-01-01
Harold Wilson,1916-03-11
Heinrich Louis d'Arrest,1822-07-13
Hellboy,1617-10-05
Helmut Recknagel,1937-03-20
Henri Privat-Livemont,1861-10-09
Inderpal Grewal,1953-01-01
Isaac Haxton,1985-09-06
Ivor Clay,1915-05-07
Jacob,-1791-01
Jasper Stuyven,1992-04-17
Jean Reno,1948-07-30
Jehoshaphat,-0905-01
Jehoshaphat,-0908-01-01T00:00:00Z
John Cariani,1969-07-23
John Carnochan,1960-07-10
John T. Thompson,1860-12-31
Jotham of Judah,-0800-01-01T00:00:00Z
Juan José Lobato,1988-12-30
Judy Baar Topinka,1944-01-06
Judy Baar Topinka,1944-01-16
Karsten Möring,1949-08-30
Knud Kristensen,1880-10-26
Krishna,-3227-07
Krishna,-3228-07
Kristi Noem,1971-11-30
L. L. Zamenhof,1859-12-15
Lawrence Sher,1970-02-04
Levi,-1565-01-01T00:00:00Z
Levi,-1566-01
Lewis Hamilton,1985-01-01
Lewis Hamilton,1985-01-07
Liliána Szilágyi,1996-11-19
Lisa Simpson,1982-05-09
László Rajk Jr.,1949-01-26
Maria Martinez,1886-01-01
Maria Martinez,1887-01-01
Marianne Vos,1987-05-13
Marie-Josephte Corriveau,1733-01-01
Marilyn Monroe,1926-06-01
Marino Amadori,1957-04-09
Mario Abdo Benítez,1971-11-10
Matthew Yang King,1974-05-06
May Berenbaum,1953-07-22
Maya Penn,2000-02-10
Maysoon Zayid,1974-01-01
Michael Tilson Thomas,1944-12-21
Michał Kwiatkowski,1990-06-02
Moon Jae-in,1953-01-24
Moses,-1392-01-01T00:00:00Z
Neminatha,-8200-01
Nico Rosberg,1985-06-27
Nik Ranieri,1961-01-01
Nikolas Cruz,1998-09-24
Peter C. Sutton,1949-01-01
Peter C. Sutton,1949-03-30
Peter Sandloff,1924-07-03
Pierre Molinéris,1920-05-21
Robert Wagner,1930-02-10
Romuald Klim,1933-05-25
Saint George,0269-01-01
Saint George,0275-01-01
Saint George,0280-01-01
Sam Witwer,1977-01-01
Sam Witwer,1977-10-20
Sergio Pablos,1970-01-01
Sheila Hicks,1934-07-24
Silvan Dillier,1990-08-03
Simon the Zealot,0100-01-01
Songezo Jim,1990-09-17
Sonja Härdin,1945-01-28
Sonny Colbrelli,1990-05-17
Stefan van Dijk,1976-01-22
Sten Stensen,1947-12-18
