Subject,Object
Abraham,-1638-01
Al Hirschfeld,2003-01-20
Albert Van Vlierberghe,1991-12-20
Alec Douglas-Home,1995-10-09
Aleksandr Medved,2024-09-02
Alexander Courage,2008-05-15
Amand Audaire,2013-12-20
Anthony of Padua,1231-06-13
Ardalion Ignatyev,1998-10-24
Asa of Judah,-0870-01
Bert Clay,1972-04-30
Bill Justice,2011-02-10
Bill Peet,2002-05-11
Birger Ruud,1998-06-13
Bram Stoker,1912-04-20
Bud Yorkin,2015-08-18
Charles F. Wheeler,2004-01-01
Charles F. Wheeler,2004-10-28
Charlie Naismith,1964-11-02
Chieng-Mai,2017-06-28
Clarence Darrow,1938-03-13
Colleen Hanabusa,2026-03-06
Cyrus the Great,-0530-01
David Ogden Stiers,2018-03-03
Dezső Gyarmati,2013-08-18
Diosphos Painter,-0500-01
Dobrotitsa,1386-01-01
Dorando Pietri,1942-02-07
Edgar Lungu,2025-06-05
Edward H. Plumb,1958-04-18
Edward H. Plumb,1958-04-19
Elimar Klebs,1918-05-16
Fedir Bohatyrchuk,1984-09-04
Frederick Heriot,1843-12-30
Frederick Peake,1970-03-30
Fritz the Elephant,1902-06-11
Fyodor Khitruk,2012-12-03
George Duning,2000-02-27
Georges Wolinski,2015-01-07
Giorgio Andreoli,1553-01-01
Gus Grissom,1967-01-27
Harambe,2016-05-28
Harold Wilson,1995-05-23
Harold Wilson,1995-05-24
Heinrich Louis d'Arrest,1875-06-14
Henri Privat-Livemont,1936-01-01
Henri Privat-Livemont,1936-10-04
Ishmael,-1590-01
Ivor Clay,1958-08-12
Jacob,-1644-01
Jehoshaphat,-0849-01
John T. Thompson,1940-06-21
Judy Baar Topinka,2014-12-10
Knud Kristensen,1962-09-28
Krishna,-3102-02
L. L. Zamenhof,1917-04-14
Levi,-1429-01
Lucera Painter,-0400-01-01T00:00:00Z
László Rajk Jr.,2019-09-11
Maria Martinez,1980-01-01
Maria Martinez,1980-06-20
Marie-Josephte Corriveau,1763-01-01
Marie-Josephte Corriveau,1763-04-01
Marie-Josephte Corriveau,1763-04-18
Marilyn Monroe,1962-08-04
Marilyn Monroe,1962-08-05
Michael Tilson Thomas,2026-04-22
Neminatha,-8100-01
Omurtag of Bulgaria,0831-01-01
Peter Sandloff,2009-12-17
Pierre Molinéris,2009-02-06
Romuald Klim,2011-05-28
Saint George,0303-04-23
Simon the Zealot,0107-01-01
Travis,2009-02-16
Vasili Ippolitov,1957-01-01
Victor Emmanuel II,1878-01-09
Wernher von Braun,1977-06-16
William Alexander Aitken,1851-09-16
Yan Yan,2007-03-26
