Subject,Object
A Scandal in Belgravia,2012-01-01
A Study in Pink,2010-07-25
Bella Australia,2012-04-20
Bloch: Der Fremde,2012-06-20
Bloch: Der Mann im Smoking,2006-11-08
Bloch: Ein krankes Herz,2005-03-09
Bloch: Fleck auf der Haut,2004-02-04
Bloch: Silbergraue Augen,2003-06-25
Bloch: Verfolgt,2010-03-17
Captives,2019-12-28
Easter Oratorio,1725-04-01
Incident on a Dark Street,1973-01-13
Marco Polo,1964-02-22
Monna Vanna,1984-08-11
Nebelwand,2017-10-19
"Symphonies, no. 1, op. 7, F minor",1897-02-14
"Symphonies, no. 2, op. 11, D major",1899-05-02
Symphony in G minor,1832-11-18
Symphony No. 1,1916-02-10
Tatort: Der wüste Gobi,2017-12-26
Tatort: Goldbach,2017-10-01
The Edge of Destruction,1964-02-08
Unter Verdacht: Die falsche Frau,2008-10-10
