Subject,Object
30th Street Station,1933-01-01
African Meeting House,1806-12-06
Aldford Iron Bridge,1824-01-01
Aldwych tube station,1907-11-30
Aliante Casino and Hotel,2008-11-11
Allendorf Airport,1966-01-01
Ambachtsland,1984-04-24
American Airlines Center,2001-07-17
Ashmolean Museum,1685-01-01
Aureliano Leite,1979-01-01
Bank and Monument stations,1884-01-01
Bank and Monument stations,1884-10-06
Baumschulenweg station,1890-05-20
BCF Arena,1983-01-01
Berlin Brandenburger Tor station,1936-07-27
Berlin Brandenburger Tor station,1947-12-02
Berlin Brandenburger Tor station,1990-09-01
Berlin Hackescher Markt station,1882-01-01
Berlin Springpfuhl station,1976-12-30
Berlin Südkreuz station,1896-01-01
Berlin Südkreuz station,1901-01-01
Berlin Südkreuz station,2006-03-26
Berlin-Grünau station,1866-09-13
Berlin-Lichtenberg station,1881-01-01
Berlin-Spandau station,1910-07-15
Biblioteca Riccardiana,1689-01-01
Binnenhof,1983-05-28
Bitburg Airport,1952-01-01
Botanical Garden of the University of Zurich,1833-01-01
Cadet Ice Arena,1968-01-01
Caiyuanba Bridge,2007-10-29
Canning Town,1999-01-01
Capital Airport Express,2008-07-19
Carolina Ribeiro,1982-01-01
Changjiangyuan bridge,2006-07-01
Changying station,2012-12-30
Charing Cross tube station,1906-01-01
Columbia Center,1985-03-02
Cottbus-Drewitz Airport,1939-01-01
Den Haag Laan van NOI railway station,1907-05-01
District line,1868-01-01
Docklands Stadium,2000-03-09
Dom Luís I Bridge,1886-01-01
Einstein Tower,1924-01-01
Esashi Line,1913-09-15
Esch-sur-Sûre Dam,1957-01-01
Excalibur Hotel and Casino,1990-06-19
FIU Arena,1986-02-01
Forest Glen station,1990-09-22
Fort Reuenthal,1989-01-01
Four Lane Ends Interchange,1980-08-11
Frankfurt Egelsbach Airport,1955-10-01
Frankfurt Galluswarte station,1978-05-28
Fredhällsbron,1966-08-21
Furusato Ginga Line,1910-09-22
Gerickesteg,1915-01-01
Giebelstadt Airport,1936-09-17
Giske Bridge,1987-01-01
Golden Gate Bridge,1937-05-28
Graskruid,1983-05-28
Hamburg Airport,1912-01-01
Hamburg Dammtor station,1866-01-01
Hamburg Dammtor station,1903-06-07
Hamburg-Altona station,1844-01-01
Hands Oval,1954-01-01
Hohenzollern Bridge,1911-05-01
Hubert H. Humphrey Metrodome,1982-04-03
InterContinental Amstel Amsterdam,1867-01-01
James B. Sheffield Olympic Skating Rink,1932-01-01
Jiujiang Yangtze River Bridge,1993-01-01
José Augusto César Salgado,1981-01-01
Jyväskylä railway station,1897-01-01
Kaigan Line,2001-06-07
Kajaani railway station,1905-01-01
Kassel-Wilhelmshöhe station,1991-05-29
Kaufbeuren–Schongau railway,1922-04-01
Kauffman Stadium,1973-04-10
Kerava railway station,1863-01-01
Kerava railway station,1878-01-01
Korso railway station,1889-01-01
Kunst Museum Winterthur,1951-01-01
Kūkō Line,1981-07-26
Lakhta Center,2018-06-30
Leidschenveen,2006-10-29
Leipzig Hauptbahnhof,1915-12-04
Leipzig-Altenburg Airport,1913-01-01
Line 1,2010-09-27
Line 10,2012-12-30
Line 13,2002-09-22
Line 7,2017-12-06
Line 8,2008-07-19
Line 9,2011-12-31
Line S9,2004-12-24
Linnahall,1980-01-01
Little Miami Scenic Trail,1984-05-16
Long Island Rail Road,1910-09-08
Longbenton metro station,1947-07-14
Luxor Resort & Casino,1993-10-15
Magnum XL-200,1989-05-06
Mainz Finthen Airport,1939-01-01
Malmö Isstadion,1968-01-01
Meijersplein,2010-05-17
Meijō Line,1965-10-15
Memorial Athletic and Convocation Center,1950-12-02
Menemen railway station,1865-10-10
Menemen railway station,1995-01-01
Menemen railway station,2011-01-30
MGM Grand Las Vegas,1993-12-18
Milano Porta Garibaldi,1997-12-21
Morrison Bridge,1958-05-24
München Ost station,1871-03-15
Namboku Line,1971-01-01
Namboku Line,1987-07-15
Nationwide Arena,2000-09-09
Nayoro Main Line,1915-11-01
Nieuw Verlaat,1984-04-19
Nuremberg Central Station,1844-01-01
Offenbach-Kaiserlei station,1995-05-23
Olympia Eishalle,1967-02-01
Oosterflank,1983-05-28
Osaka Metro Chūō Line,1961-12-11
Palais Garnier,1875-01-05
Palomar Observatory,1928-01-01
Palácio do Planalto,1960-04-21
Paoay Church,1710-01-01
