Subject,Object
barium-127m,barium-127
barium-129m,barium-129
barium-131m,barium-131
barium-133m,barium-133
bismuth-195,thallium-191
bismuth-196,thallium-192
bismuth-197,thallium-193
bismuth-201,thallium-197
bismuth-202,thallium-198
bismuth-203,thallium-199
caesium-146,barium-145
caesium-147,barium-146
caesium-148,barium-147
caesium-149,barium-148
caesium-150,barium-149
caesium-151,barium-150
cerium-122,barium-121
cerium-124,lanthanum-124
cerium-125,barium-124
cerium-126,lanthanum-126
cerium-127,lanthanum-127
cerium-128,lanthanum-128
cerium-129,lanthanum-129
cerium-130,lanthanum-130
cerium-131,lanthanum-131
cerium-132,lanthanum-132
francium-221,carbon-14
francium-222,radium-222
francium-224,radium-224
francium-225,radium-225
francium-226,radium-226
francium-227,radium-227
francium-228,radium-228
francium-229,radium-229
francium-231,radium-231
germanium-67,gallium-67
germanium-71,gallium-71
germanium-77,arsenic-77
germanium-78,arsenic-78
lead-181,thallium-181
lead-182,mercury-178
lead-182,thallium-182
lead-183,mercury-179
lead-184,mercury-180
lead-185,mercury-181
lead-186,mercury-182
lead-187,mercury-183
lead-188,mercury-184
lead-189,mercury-185
lead-190,mercury-186
lead-191,mercury-187
lead-192,mercury-188
lead-194,mercury-190
lead-196,mercury-192
lead-202,mercury-198
lead-204,mercury-200
lead-210,mercury-206
potassium-34,argon-33
potassium-35,argon-35
potassium-36,chlorine-35
potassium-36,sulfur-32
potassium-37,argon-37
potassium-38,argon-38
potassium-40,calcium-40
potassium-42,calcium-42
potassium-43,calcium-43
potassium-44,calcium-44
potassium-45,calcium-45
potassium-46,calcium-46
praseodymium-129,cerium-129
praseodymium-131,cerium-131
praseodymium-133,cerium-133
praseodymium-144,neodymium-144
ruthenium-105,rhodium-105
ruthenium-108,rhodium-108
ruthenium-110,rhodium-110
ruthenium-97,technetium-97
scandium-40,calcium-40
scandium-43,calcium-43
scandium-48,titanium-48
scandium-50,titanium-50
xenon-112,iodine-112
xenon-113,tellurium-109
xenon-116,iodine-116
xenon-127,iodine-127
