Subject,Object
101 Piscium,14.6614214583
20 Camelopardalis,56.4878015773
26 Canis Majoris,-25.9425878008
28 Cancri,24.1449147564234
2MASS J06302940+0504123,5.0701059070647
2MASS J06310608+0457529,4.9647151567314
2MASS J07323341+7241408,72.6946793274744
2MASS J08294046-4251430,-42.8618845609142
2MASS J14382831+8229397,82.4943430280491
2MASS J17532059+2516492,25.2803153973985
2MASS J18314638-0210403,-2.1778784191483
2MASS J20431402+1536021,15.6006027326877
2MASS J21402500+5816106,58.2696421422458
2MASS J21402588+5815262,58.2573114734802
39 Draconis,58.800734622
6 Draconis,70.0217792479
9 Persei,55.8456532695542
[CWB2011] WLTV J045346.27-030329.0,-3.0581467926812
[CWB2011] WLTV J045356.04-030619.7,-3.1055439098139
[CWB2011] WLTV J160429.34+431016.8,43.1714936444281
[FK2002] 229,9.5417
[FK2002] 6,-1.70009
[FK2002] 84,3.46
[GBN2014] 31,-54.3905
[GBN2014] 34,-53.2737
[GBN2014] 72,-43.2949
[HS80] B182,30.5892757274005
[MMF2013] F2 ch2-1-s0020,54.36118
[MMF2013] F2 ch2-2-s0032,54.33918
[SS2011b] F1-37502,54.35431731
[SS2011b] F2-5628,54.327
[SSF98] V5,54.35148
[SXY2015] 21,62.3919
[T98b] 70,7.25056
AB Aurigae,30.5511925781404
Abell 2199,39.52444
Alpha Caeli,-41.8637512638
Alpha Caeli,-41.863752073
Alpha² Canum Venaticorum,38.31837614167
ASASSN -14gz,33.070588
CD-60 6745,-61.0369057516134
Centaurus A,-43.0191126674
Circinus Galaxy,-65.3390194
CTA-102,11.730806686583
Delta Equulei,10.0069794106
DS Crucis,-60.3297872096459
Epsilon Coronae Australis,-37.10722
Epsilon Coronae Australis,-37.107327014556
Epsilon Coronae Australis,-37.1073279813
Epsilon Eridani b,-9.45825865694
Gamma Capricorni,-16.66230755111
Gamma Doradus,-51.4866479762
Gamma Leporis,-22.44838354528
Gliese 208,11.3278699998
Gliese 412,43.526775397
Gliese 436 b,26.7065716898
Gliese 777,29.89680425861
Gliese 777,29.896806
Gumala,-24.17935371455056
HAT-P-7,47.96950451412389
HAT-P-7,47.9695047244
HD 109749 b,-40.8121178806
HD 125040,20.121849757
HD 14433,57.2429153351274
HD 149026 b,38.3473085815
HD 154345,47.08187852193139
HD 23089,63.3450594762
HD 27894,-59.410839750485
HD 27894,-59.4108401795
HD 89744,41.22953020964722
HD 92207,-58.7333375906908
Huchra's lens,3.35825
Kapteyn's Star,-45.01843165440945
Kapteyn's Star,-45.0184338152
KIC 4937056,40.0974687366127
KIC 5024043,40.1077988735493
KIC 5111949,40.219698837432
KIC 5200152,40.3623533847825
KIC 7900418,43.674958083024
Mahtessian 56,50.40472
Messier 61,4.473774537722
Messier 82,69.6797028
MLCG 0619,19.194862
MLCG 1580,27.02333
Mu Arae,-51.83405306920083
NGC 1140,-10.0286487737165
NGC 123,-1.627631
NGC 160,23.9579195724
NGC 1875,6.6889444
NGC 2204,-18.665
NGC 2266,26.985
NGC 2276,85.7545
NGC 2293,-26.7543611
NGC 2349,-8.6
NGC 2547,-49.176393
NGC 2633,74.0986200363877
NGC 281,56.565
NGC 3110,-6.4747556
NGC 3242,-18.6423040096419
NGC 3256,-43.9037639
NGC 3263,-44.1229222
NGC 3446,-45.13917
NGC 4235,7.19157363632
NGC 455,5.1787528
NGC 524,9.5387917
NGC 541,-1.3794972
NGC 5450,54.27139
NGC 59,-21.4443556
NGC 6120,37.7743564787589
NGC 6281,-37.985
NGC 6819,40.1867
NGC 7213,-47.1666894906
OGLE 2013-SN-59,-68.4609935471093
OGLE SMC-SC9 27258,-72.5102253639099
OGLE SMC-SC9 73218,-72.4989239467464
QW Puppis,-46.75930414222
QW Puppis,-46.7593046072
R Cassiopeiae,51.3888091748
Rho Geminorum,31.784549252
RSCG 80,-31.93028
SDSS J081855.21+300253.5,30.0482480858776
SDSS J165236.28+460515.1,46.0874833
SDSSCGA 574,29.42111
Sigma Draconis,69.6611766126
Sunflower Galaxy,42.0293683550047
SV* HV 2031,-72.3013672888294
SV* HV 877,-67.9951640970723
Tupi,-52.91583781860305
U Orionis,20.1751883067
ULAS J1342+0928,9.4773
USGC U468,15.35583
UW Canis Majoris,-24.5586995135
V* EU Dra,63.873889534262
V* GR Dra,59.0353469052819
V4381 Sagittarii,-21.4495593826805
V897 Her,7.7489205229993
Vega,2320
Vega,2320.9
Vega,38.783688956
VV 699,-11.1233
Whirlpool Galaxy,47.1952583
