Subject,Object
A Floresta e a Glória,Glória
Adoration of the Magi,Virgin Mary
Adoration of the Magi,woman
Altarpiece of Santos-o-Novo,resurrection of Jesus
Amenophis II-E 3176,Amenhotep II
Attic black-figure votive plate,bull
attic geometric Neck amphora,meander
Bust of a young girl-RHO.2007.00.1941,girl
Bust of Charles Bonnet-MAH 1825-0027,Charles Bonnet
Bust of Comenius,Johann Amos Comenius
Bust of Jean-Jacques Rousseau-MAH 1825-0028,Jean-Jacques Rousseau
"Capela Inglesa, Rua dos Barbonos e Arcos",Carioca Aqueduct
Carta Geologica do Estado de S. Paulo,São Paulo
Carta Geral do Estado de S. Paulo,São Paulo
Carta Geral do Estado de São Paulo,São Paulo
Cesnola krater,hydria
Cesnola krater,tree of life
Chapa Circular,round
Christ before Pilate,Pilate's court
Convento da Ajuda,Santa Teresa
Dancing Muse,dancing
"Design drawing from the Jos De Beer collection, ref. obj-0002523",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002530",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002690",religious building
"Design drawing from the Jos De Beer collection, ref. obj-0002693",religious building
Diptych of Jean Carondelet,Jan II Carondelet
Diptych of Munich,angel
Diptych of Munich,Virgin Mary
Emperor Xuanzong's Flight to Shu,man
Entrada da barra,Sugarloaf Mountain
Epistle to the Galatians,fruit of the holy spirit
Finches and bamboo,calligraphy
flying geese,Mallard
Frolicking Figures and Animals,man
Fête de la Fédération au Champ de Mars. 14 juillet 1790,bishop
Gamboa e Caju,Gamboa
General Duroc at Castiglione,Géraud Duroc
Ghent Altarpiece,Virgin Mary
Ghent Altarpiece,woman
Gladiator with sword,gladiator
Gotthelf memorial,Jeremias Gotthelf
Grooms and Horses,horse
Horses Amphora,palmette
Horses Amphora,rosette
Horses Amphora,volute
Jogo Padrão,group
Judgement of Cambyses,dog
Kylix by the Providence Painter,krater
Kylix by the Providence Painter,meander
Kylix by the Providence Painter,oenochoe
Lady Henen-E 33145,wife
Landscape with castle,bridge
Landscape with castle,broad-leaved tree
Landscape with castle,landscape
Largo do Paço,Mosteiro de São Bento
Leoš Janáček memorial plaque,Leoš Janáček
Male bust-MAHG Inv eg 12,man
