Subject,Object
21 cm Mörser 18,Krupp
7.5 cm Gebirgsgeschütz 36,Rheinmetall AG
7.5 cm leichtes Infanteriegeschütz 18,Rheinmetall AG
7.5 cm Pak 40,Rheinmetall AG
7.5 cm PaK 41,Krupp
Bembo,Francesco Griffo
Caslon,William Caslon
Ceanannas,Michael Everson
Choc,Roger Excoffon
Comic Sans MS,Vincent Connare
Corcaigh,Michael Everson
Diana and the Nymph Britomartis,Toussaint Dubreuil
Diana Between the Giants,Toussaint Dubreuil
Diana Kills the Children of Niobe,Toussaint Dubreuil
Diane,Roger Excoffon
Esperanto,L. L. Zamenhof
Francesca,Lukyan Turetskyy
Haubitze M1,Rheinmetall AG
Helvetica,Max Miedinger
Klang,Will Carter
M1903 Springfield,Springfield Armory
M2,John Browning
Omnia,Karlgeorg Hoefer
sFH 18,Krupp
Shelley,Matthew Carter
The Death of Chiore,Toussaint Dubreuil
Type 38 75 mm Field Gun,Krupp
Univers,Adrian Frutiger
ZiS-3,Nizhny Novgorod Machine-building Plant
