Subject,Object
26 Canis Majoris,4520000.0
87 Sylvia,253.051
Aconia,19.0
Aelia,4.34
Africana,25.4
Albia,5.79
AMiBA,0.576
Angioletta,18.4
Antonia,16.8
Arruntia,10.5
Astrolabe-Quadrant: Gunter-type,12.8
Astrolabe-Quadrant: Gunter-type,16.0
Astrolabe-Quadrant: Sutton-type,11.7
Astrolabe-Quadrant: Sutton-type,15.3
Astrolabe-Quadrant: Universal Horizon/Azimuth,16.0
Astrolabe: Stellar Compass,19.4
Bellicia,41.7
Bodangora Wind Farm,130.0
Bruttia,20.7
Gamma Doradus,1150000.0
Gamma Doradus,2300000.0
Gliese 412,600000.0
HAT-P-7,2370000.0
HAT-P-7,2500000.0
HAT-P-7,2770000.0
HD 154345,1180000.0
HD 27894,1100000.0
James Webb Space Telescope,0.74
James Webb Space Telescope,6.5
Kapteyn's Star,475000.0
KIC 4937056,15200000.0
KIC 5024043,13500000.0
KIC 5111949,15000000.0
KIC 5200152,15100000.0
Moon,3476.2
Mu Arae,1840000.0
Nestor,38.2
Oenops,25.7
Ormenus,39.8
P-800 Oniks,0.7
Periboea,51.0
Phemius,75.9
Philoetius,28.3
Polycaste,23.0
Poseidon,63.0
Rhexenor,38.0
Sponde,2.0
Tupi,1490000.0
Vega,1800000.0
Vega,3590000.0
Vega,3770000.0
Zlyden,44.0
